,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
22184,Seychelles,1985,male,35-54 years,3,4400,68.18,Seychelles1985,,"168,887,539",2947,Silent
22185,Seychelles,1985,male,15-24 years,3,7700,38.96,Seychelles1985,,"168,887,539",2947,Generation X
22186,Seychelles,1985,male,55-74 years,1,2800,35.71,Seychelles1985,,"168,887,539",2947,G.I. Generation
22187,Seychelles,1985,female,15-24 years,1,7500,13.33,Seychelles1985,,"168,887,539",2947,Generation X
22188,Seychelles,1985,female,25-34 years,0,4200,0.0,Seychelles1985,,"168,887,539",2947,Boomers
22189,Seychelles,1985,female,35-54 years,0,4800,0.0,Seychelles1985,,"168,887,539",2947,Silent
22190,Seychelles,1985,female,5-14 years,0,7700,0.0,Seychelles1985,,"168,887,539",2947,Generation X
22191,Seychelles,1985,female,55-74 years,0,3500,0.0,Seychelles1985,,"168,887,539",2947,G.I. Generation
22192,Seychelles,1985,female,75+ years,0,1000,0.0,Seychelles1985,,"168,887,539",2947,G.I. Generation
22193,Seychelles,1985,male,25-34 years,0,5200,0.0,Seychelles1985,,"168,887,539",2947,Boomers
22194,Seychelles,1985,male,5-14 years,0,7900,0.0,Seychelles1985,,"168,887,539",2947,Generation X
22195,Seychelles,1985,male,75+ years,0,600,0.0,Seychelles1985,,"168,887,539",2947,G.I. Generation
22196,Seychelles,1986,male,35-54 years,1,4300,23.26,Seychelles1986,,"207,850,624",3621,Silent
22197,Seychelles,1986,female,15-24 years,0,7500,0.0,Seychelles1986,,"207,850,624",3621,Generation X
22198,Seychelles,1986,female,25-34 years,0,4500,0.0,Seychelles1986,,"207,850,624",3621,Boomers
22199,Seychelles,1986,female,35-54 years,0,4700,0.0,Seychelles1986,,"207,850,624",3621,Silent
22200,Seychelles,1986,female,5-14 years,0,7700,0.0,Seychelles1986,,"207,850,624",3621,Generation X
22201,Seychelles,1986,female,55-74 years,0,3500,0.0,Seychelles1986,,"207,850,624",3621,G.I. Generation
22202,Seychelles,1986,female,75+ years,0,1000,0.0,Seychelles1986,,"207,850,624",3621,G.I. Generation
22203,Seychelles,1986,male,15-24 years,0,7500,0.0,Seychelles1986,,"207,850,624",3621,Generation X
22204,Seychelles,1986,male,25-34 years,0,5500,0.0,Seychelles1986,,"207,850,624",3621,Boomers
22205,Seychelles,1986,male,5-14 years,0,8000,0.0,Seychelles1986,,"207,850,624",3621,Generation X
22206,Seychelles,1986,male,55-74 years,0,2700,0.0,Seychelles1986,,"207,850,624",3621,G.I. Generation
22207,Seychelles,1986,male,75+ years,0,500,0.0,Seychelles1986,,"207,850,624",3621,G.I. Generation
22208,Seychelles,1987,male,35-54 years,2,4600,43.48,Seychelles1987,,"249,267,040",4276,Silent
22209,Seychelles,1987,male,25-34 years,1,5800,17.24,Seychelles1987,,"249,267,040",4276,Boomers
22210,Seychelles,1987,female,15-24 years,0,7400,0.0,Seychelles1987,,"249,267,040",4276,Generation X
22211,Seychelles,1987,female,25-34 years,0,4800,0.0,Seychelles1987,,"249,267,040",4276,Boomers
22212,Seychelles,1987,female,35-54 years,0,4700,0.0,Seychelles1987,,"249,267,040",4276,Silent
22213,Seychelles,1987,female,5-14 years,0,7700,0.0,Seychelles1987,,"249,267,040",4276,Generation X
22214,Seychelles,1987,female,55-74 years,0,3600,0.0,Seychelles1987,,"249,267,040",4276,G.I. Generation
22215,Seychelles,1987,female,75+ years,0,1200,0.0,Seychelles1987,,"249,267,040",4276,G.I. Generation
22216,Seychelles,1987,male,15-24 years,0,7400,0.0,Seychelles1987,,"249,267,040",4276,Generation X
22217,Seychelles,1987,male,5-14 years,0,7900,0.0,Seychelles1987,,"249,267,040",4276,Generation X
22218,Seychelles,1987,male,55-74 years,0,2700,0.0,Seychelles1987,,"249,267,040",4276,G.I. Generation
22219,Seychelles,1987,male,75+ years,0,500,0.0,Seychelles1987,,"249,267,040",4276,G.I. Generation
22220,Seychelles,2001,male,25-34 years,2,7008,28.54,Seychelles2001,,"622,262,057",8257,Generation X
22221,Seychelles,2001,male,55-74 years,1,3520,28.41,Seychelles2001,,"622,262,057",8257,Silent
22222,Seychelles,2001,male,35-54 years,2,9888,20.23,Seychelles2001,,"622,262,057",8257,Boomers
22223,Seychelles,2001,female,35-54 years,1,9621,10.39,Seychelles2001,,"622,262,057",8257,Boomers
22224,Seychelles,2001,female,15-24 years,0,7832,0.0,Seychelles2001,,"622,262,057",8257,Millenials
22225,Seychelles,2001,female,25-34 years,0,7003,0.0,Seychelles2001,,"622,262,057",8257,Generation X
22226,Seychelles,2001,female,5-14 years,0,7585,0.0,Seychelles2001,,"622,262,057",8257,Millenials
22227,Seychelles,2001,female,55-74 years,0,4245,0.0,Seychelles2001,,"622,262,057",8257,Silent
22228,Seychelles,2001,female,75+ years,0,1679,0.0,Seychelles2001,,"622,262,057",8257,Silent
22229,Seychelles,2001,male,15-24 years,0,8053,0.0,Seychelles2001,,"622,262,057",8257,Millenials
22230,Seychelles,2001,male,5-14 years,0,7979,0.0,Seychelles2001,,"622,262,057",8257,Millenials
22231,Seychelles,2001,male,75+ years,0,950,0.0,Seychelles2001,,"622,262,057",8257,Silent
22232,Seychelles,2002,male,75+ years,1,953,104.93,Seychelles2002,,"697,518,248",9070,Silent
22233,Seychelles,2002,male,25-34 years,2,7309,27.36,Seychelles2002,,"697,518,248",9070,Generation X
22234,Seychelles,2002,male,15-24 years,1,8158,12.26,Seychelles2002,,"697,518,248",9070,Millenials
22235,Seychelles,2002,male,35-54 years,1,10446,9.57,Seychelles2002,,"697,518,248",9070,Boomers
22236,Seychelles,2002,female,15-24 years,0,7901,0.0,Seychelles2002,,"697,518,248",9070,Millenials
22237,Seychelles,2002,female,25-34 years,0,7300,0.0,Seychelles2002,,"697,518,248",9070,Generation X
22238,Seychelles,2002,female,35-54 years,0,10257,0.0,Seychelles2002,,"697,518,248",9070,Boomers
22239,Seychelles,2002,female,5-14 years,0,7443,0.0,Seychelles2002,,"697,518,248",9070,Millenials
22240,Seychelles,2002,female,55-74 years,0,4170,0.0,Seychelles2002,,"697,518,248",9070,Silent
22241,Seychelles,2002,female,75+ years,0,1707,0.0,Seychelles2002,,"697,518,248",9070,Silent
22242,Seychelles,2002,male,5-14 years,0,7799,0.0,Seychelles2002,,"697,518,248",9070,Millenials
22243,Seychelles,2002,male,55-74 years,0,3461,0.0,Seychelles2002,,"697,518,248",9070,Silent
22244,Seychelles,2003,male,55-74 years,1,3425,29.2,Seychelles2003,,"705,704,816",9001,Silent
22245,Seychelles,2003,male,35-54 years,3,11050,27.15,Seychelles2003,,"705,704,816",9001,Boomers
22246,Seychelles,2003,female,35-54 years,2,10925,18.31,Seychelles2003,,"705,704,816",9001,Boomers
22247,Seychelles,2003,male,25-34 years,1,7606,13.15,Seychelles2003,,"705,704,816",9001,Generation X
22248,Seychelles,2003,male,15-24 years,1,8201,12.19,Seychelles2003,,"705,704,816",9001,Millenials
22249,Seychelles,2003,female,15-24 years,0,7890,0.0,Seychelles2003,,"705,704,816",9001,Millenials
22250,Seychelles,2003,female,25-34 years,0,7588,0.0,Seychelles2003,,"705,704,816",9001,Generation X
22251,Seychelles,2003,female,5-14 years,0,7304,0.0,Seychelles2003,,"705,704,816",9001,Millenials
22252,Seychelles,2003,female,55-74 years,0,4102,0.0,Seychelles2003,,"705,704,816",9001,Silent
22253,Seychelles,2003,female,75+ years,0,1735,0.0,Seychelles2003,,"705,704,816",9001,Silent
22254,Seychelles,2003,male,5-14 years,0,7622,0.0,Seychelles2003,,"705,704,816",9001,Millenials
22255,Seychelles,2003,male,75+ years,0,954,0.0,Seychelles2003,,"705,704,816",9001,Silent
22256,Seychelles,2004,male,35-54 years,3,11676,25.69,Seychelles2004,,"839,319,927",10526,Boomers
22257,Seychelles,2004,male,25-34 years,2,7889,25.35,Seychelles2004,,"839,319,927",10526,Generation X
22258,Seychelles,2004,male,15-24 years,1,8174,12.23,Seychelles2004,,"839,319,927",10526,Millenials
22259,Seychelles,2004,female,15-24 years,0,7790,0.0,Seychelles2004,,"839,319,927",10526,Millenials
22260,Seychelles,2004,female,25-34 years,0,7836,0.0,Seychelles2004,,"839,319,927",10526,Generation X
22261,Seychelles,2004,female,35-54 years,0,11572,0.0,Seychelles2004,,"839,319,927",10526,Boomers
22262,Seychelles,2004,female,5-14 years,0,7148,0.0,Seychelles2004,,"839,319,927",10526,Millenials
22263,Seychelles,2004,female,55-74 years,0,4059,0.0,Seychelles2004,,"839,319,927",10526,Silent
22264,Seychelles,2004,female,75+ years,0,1752,0.0,Seychelles2004,,"839,319,927",10526,Silent
22265,Seychelles,2004,male,5-14 years,0,7457,0.0,Seychelles2004,,"839,319,927",10526,Millenials
22266,Seychelles,2004,male,55-74 years,0,3430,0.0,Seychelles2004,,"839,319,927",10526,Silent
22267,Seychelles,2004,male,75+ years,0,952,0.0,Seychelles2004,,"839,319,927",10526,Silent
