,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
22400,Singapore,1985,male,75+ years,23,15900,144.65,Singapore1985,,"19,138,296,376",8142,G.I. Generation
22401,Singapore,1985,female,75+ years,19,24500,77.55,Singapore1985,,"19,138,296,376",8142,G.I. Generation
22402,Singapore,1985,male,55-74 years,39,122400,31.86,Singapore1985,,"19,138,296,376",8142,G.I. Generation
22403,Singapore,1985,female,55-74 years,25,125100,19.98,Singapore1985,,"19,138,296,376",8142,G.I. Generation
22404,Singapore,1985,male,25-34 years,52,280500,18.54,Singapore1985,,"19,138,296,376",8142,Boomers
22405,Singapore,1985,male,35-54 years,49,292500,16.75,Singapore1985,,"19,138,296,376",8142,Silent
22406,Singapore,1985,female,25-34 years,35,266700,13.12,Singapore1985,,"19,138,296,376",8142,Boomers
22407,Singapore,1985,male,15-24 years,27,268000,10.07,Singapore1985,,"19,138,296,376",8142,Generation X
22408,Singapore,1985,female,15-24 years,25,253400,9.87,Singapore1985,,"19,138,296,376",8142,Generation X
22409,Singapore,1985,female,35-54 years,27,285200,9.47,Singapore1985,,"19,138,296,376",8142,Silent
22410,Singapore,1985,female,5-14 years,3,200400,1.5,Singapore1985,,"19,138,296,376",8142,Generation X
22411,Singapore,1985,male,5-14 years,0,215900,0.0,Singapore1985,,"19,138,296,376",8142,Generation X
22412,Singapore,1986,female,75+ years,30,26000,115.38,Singapore1986,,"18,569,292,305",7805,G.I. Generation
22413,Singapore,1986,male,75+ years,14,17200,81.4,Singapore1986,,"18,569,292,305",7805,G.I. Generation
22414,Singapore,1986,male,55-74 years,44,125800,34.98,Singapore1986,,"18,569,292,305",7805,G.I. Generation
22415,Singapore,1986,male,35-54 years,54,304500,17.73,Singapore1986,,"18,569,292,305",7805,Silent
22416,Singapore,1986,male,25-34 years,46,288100,15.97,Singapore1986,,"18,569,292,305",7805,Boomers
22417,Singapore,1986,female,55-74 years,20,128500,15.56,Singapore1986,,"18,569,292,305",7805,G.I. Generation
22418,Singapore,1986,female,25-34 years,35,273000,12.82,Singapore1986,,"18,569,292,305",7805,Boomers
22419,Singapore,1986,male,15-24 years,31,260000,11.92,Singapore1986,,"18,569,292,305",7805,Generation X
22420,Singapore,1986,female,35-54 years,34,297800,11.42,Singapore1986,,"18,569,292,305",7805,Silent
22421,Singapore,1986,female,15-24 years,16,246400,6.49,Singapore1986,,"18,569,292,305",7805,Generation X
22422,Singapore,1986,male,5-14 years,2,213700,0.94,Singapore1986,,"18,569,292,305",7805,Generation X
22423,Singapore,1986,female,5-14 years,0,198300,0.0,Singapore1986,,"18,569,292,305",7805,Generation X
22424,Singapore,1987,male,75+ years,17,18300,92.9,Singapore1987,,"20,897,630,201",8679,G.I. Generation
22425,Singapore,1987,female,75+ years,16,27700,57.76,Singapore1987,,"20,897,630,201",8679,G.I. Generation
22426,Singapore,1987,male,55-74 years,42,128900,32.58,Singapore1987,,"20,897,630,201",8679,G.I. Generation
22427,Singapore,1987,female,55-74 years,29,132300,21.92,Singapore1987,,"20,897,630,201",8679,G.I. Generation
22428,Singapore,1987,male,25-34 years,48,293500,16.35,Singapore1987,,"20,897,630,201",8679,Boomers
22429,Singapore,1987,male,35-54 years,43,318100,13.52,Singapore1987,,"20,897,630,201",8679,Silent
22430,Singapore,1987,female,25-34 years,36,277400,12.98,Singapore1987,,"20,897,630,201",8679,Boomers
22431,Singapore,1987,female,35-54 years,33,311000,10.61,Singapore1987,,"20,897,630,201",8679,Silent
22432,Singapore,1987,male,15-24 years,21,253600,8.28,Singapore1987,,"20,897,630,201",8679,Generation X
22433,Singapore,1987,female,15-24 years,16,240100,6.66,Singapore1987,,"20,897,630,201",8679,Generation X
22434,Singapore,1987,female,5-14 years,0,195600,0.0,Singapore1987,,"20,897,630,201",8679,Generation X
22435,Singapore,1987,male,5-14 years,0,211300,0.0,Singapore1987,,"20,897,630,201",8679,Generation X
22436,Singapore,1988,male,75+ years,30,21600,138.89,Singapore1988,,"25,337,226,971",10586,G.I. Generation
22437,Singapore,1988,female,75+ years,27,31800,84.91,Singapore1988,,"25,337,226,971",10586,G.I. Generation
22438,Singapore,1988,male,55-74 years,43,131400,32.72,Singapore1988,,"25,337,226,971",10586,G.I. Generation
22439,Singapore,1988,male,35-54 years,63,319100,19.74,Singapore1988,,"25,337,226,971",10586,Silent
22440,Singapore,1988,male,25-34 years,52,288000,18.06,Singapore1988,,"25,337,226,971",10586,Boomers
22441,Singapore,1988,female,55-74 years,23,136200,16.89,Singapore1988,,"25,337,226,971",10586,G.I. Generation
22442,Singapore,1988,male,15-24 years,31,241600,12.83,Singapore1988,,"25,337,226,971",10586,Generation X
22443,Singapore,1988,female,25-34 years,33,277100,11.91,Singapore1988,,"25,337,226,971",10586,Boomers
22444,Singapore,1988,female,15-24 years,25,229800,10.88,Singapore1988,,"25,337,226,971",10586,Generation X
22445,Singapore,1988,female,35-54 years,34,314300,10.82,Singapore1988,,"25,337,226,971",10586,Silent
22446,Singapore,1988,female,5-14 years,4,193900,2.06,Singapore1988,,"25,337,226,971",10586,Generation X
22447,Singapore,1988,male,5-14 years,1,208600,0.48,Singapore1988,,"25,337,226,971",10586,Generation X
22448,Singapore,1989,male,75+ years,25,22800,109.65,Singapore1989,,"30,423,573,842",12514,G.I. Generation
22449,Singapore,1989,female,75+ years,33,33500,98.51,Singapore1989,,"30,423,573,842",12514,G.I. Generation
22450,Singapore,1989,male,55-74 years,41,135300,30.3,Singapore1989,,"30,423,573,842",12514,G.I. Generation
22451,Singapore,1989,female,55-74 years,33,141000,23.4,Singapore1989,,"30,423,573,842",12514,G.I. Generation
22452,Singapore,1989,male,35-54 years,65,336500,19.32,Singapore1989,,"30,423,573,842",12514,Silent
22453,Singapore,1989,male,25-34 years,50,290700,17.2,Singapore1989,,"30,423,573,842",12514,Boomers
22454,Singapore,1989,female,15-24 years,35,224700,15.58,Singapore1989,,"30,423,573,842",12514,Generation X
22455,Singapore,1989,female,25-34 years,38,280700,13.54,Singapore1989,,"30,423,573,842",12514,Boomers
22456,Singapore,1989,male,15-24 years,32,236800,13.51,Singapore1989,,"30,423,573,842",12514,Generation X
22457,Singapore,1989,female,35-54 years,40,329800,12.13,Singapore1989,,"30,423,573,842",12514,Silent
22458,Singapore,1989,male,5-14 years,2,207000,0.97,Singapore1989,,"30,423,573,842",12514,Generation X
22459,Singapore,1989,female,5-14 years,0,192300,0.0,Singapore1989,,"30,423,573,842",12514,Generation X
22460,Singapore,1990,male,75+ years,19,24100,78.84,Singapore1990,0.718,"36,152,027,893",14393,G.I. Generation
22461,Singapore,1990,female,75+ years,23,35400,64.97,Singapore1990,0.718,"36,152,027,893",14393,G.I. Generation
22462,Singapore,1990,male,55-74 years,39,140900,27.68,Singapore1990,0.718,"36,152,027,893",14393,G.I. Generation
22463,Singapore,1990,female,55-74 years,27,147100,18.35,Singapore1990,0.718,"36,152,027,893",14393,G.I. Generation
22464,Singapore,1990,male,35-54 years,63,359200,17.54,Singapore1990,0.718,"36,152,027,893",14393,Silent
22465,Singapore,1990,male,25-34 years,47,299900,15.67,Singapore1990,0.718,"36,152,027,893",14393,Boomers
22466,Singapore,1990,female,25-34 years,43,289400,14.86,Singapore1990,0.718,"36,152,027,893",14393,Boomers
22467,Singapore,1990,male,15-24 years,31,236800,13.09,Singapore1990,0.718,"36,152,027,893",14393,Generation X
22468,Singapore,1990,female,35-54 years,42,349400,12.02,Singapore1990,0.718,"36,152,027,893",14393,Silent
22469,Singapore,1990,female,15-24 years,17,225500,7.54,Singapore1990,0.718,"36,152,027,893",14393,Generation X
22470,Singapore,1990,male,5-14 years,2,209400,0.96,Singapore1990,0.718,"36,152,027,893",14393,Generation X
22471,Singapore,1990,female,5-14 years,1,194700,0.51,Singapore1990,0.718,"36,152,027,893",14393,Generation X
22472,Singapore,1991,male,75+ years,16,25000,64.0,Singapore1991,,"45,474,442,836",17768,G.I. Generation
22473,Singapore,1991,female,75+ years,21,36700,57.22,Singapore1991,,"45,474,442,836",17768,G.I. Generation
22474,Singapore,1991,male,55-74 years,38,144300,26.33,Singapore1991,,"45,474,442,836",17768,Silent
22475,Singapore,1991,female,55-74 years,25,150800,16.58,Singapore1991,,"45,474,442,836",17768,Silent
22476,Singapore,1991,male,25-34 years,44,301200,14.61,Singapore1991,,"45,474,442,836",17768,Boomers
22477,Singapore,1991,male,35-54 years,54,379500,14.23,Singapore1991,,"45,474,442,836",17768,Boomers
22478,Singapore,1991,male,15-24 years,25,231300,10.81,Singapore1991,,"45,474,442,836",17768,Generation X
22479,Singapore,1991,female,25-34 years,28,292600,9.57,Singapore1991,,"45,474,442,836",17768,Boomers
22480,Singapore,1991,female,15-24 years,16,221500,7.22,Singapore1991,,"45,474,442,836",17768,Generation X
22481,Singapore,1991,female,35-54 years,25,369500,6.77,Singapore1991,,"45,474,442,836",17768,Boomers
22482,Singapore,1991,female,5-14 years,4,195900,2.04,Singapore1991,,"45,474,442,836",17768,Millenials
22483,Singapore,1991,male,5-14 years,0,211000,0.0,Singapore1991,,"45,474,442,836",17768,Millenials
22484,Singapore,1992,male,75+ years,15,26000,57.69,Singapore1992,,"52,156,414,979",20029,G.I. Generation
22485,Singapore,1992,female,75+ years,20,38200,52.36,Singapore1992,,"52,156,414,979",20029,G.I. Generation
22486,Singapore,1992,male,55-74 years,26,147100,17.68,Singapore1992,,"52,156,414,979",20029,Silent
22487,Singapore,1992,female,55-74 years,27,153300,17.61,Singapore1992,,"52,156,414,979",20029,Silent
22488,Singapore,1992,male,25-34 years,43,299300,14.37,Singapore1992,,"52,156,414,979",20029,Boomers
22489,Singapore,1992,male,35-54 years,53,400800,13.22,Singapore1992,,"52,156,414,979",20029,Boomers
22490,Singapore,1992,female,25-34 years,28,293200,9.55,Singapore1992,,"52,156,414,979",20029,Boomers
22491,Singapore,1992,male,15-24 years,21,228100,9.21,Singapore1992,,"52,156,414,979",20029,Generation X
22492,Singapore,1992,female,35-54 years,32,391200,8.18,Singapore1992,,"52,156,414,979",20029,Boomers
22493,Singapore,1992,female,15-24 years,9,220000,4.09,Singapore1992,,"52,156,414,979",20029,Generation X
22494,Singapore,1992,male,5-14 years,2,211000,0.95,Singapore1992,,"52,156,414,979",20029,Millenials
22495,Singapore,1992,female,5-14 years,1,195800,0.51,Singapore1992,,"52,156,414,979",20029,Millenials
