,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
23036,Slovenia,1995,male,75+ years,27,25800,104.65,Slovenia1995,0.782,"21,273,055,398",11291,G.I. Generation
23037,Slovenia,1995,male,55-74 years,126,165300,76.23,Slovenia1995,0.782,"21,273,055,398",11291,Silent
23038,Slovenia,1995,male,35-54 years,174,287800,60.46,Slovenia1995,0.782,"21,273,055,398",11291,Boomers
23039,Slovenia,1995,male,25-34 years,54,148100,36.46,Slovenia1995,0.782,"21,273,055,398",11291,Generation X
23040,Slovenia,1995,male,15-24 years,51,151300,33.71,Slovenia1995,0.782,"21,273,055,398",11291,Generation X
23041,Slovenia,1995,female,75+ years,16,58600,27.3,Slovenia1995,0.782,"21,273,055,398",11291,G.I. Generation
23042,Slovenia,1995,female,55-74 years,47,215700,21.79,Slovenia1995,0.782,"21,273,055,398",11291,Silent
23043,Slovenia,1995,female,35-54 years,43,280800,15.31,Slovenia1995,0.782,"21,273,055,398",11291,Boomers
23044,Slovenia,1995,female,25-34 years,16,149200,10.72,Slovenia1995,0.782,"21,273,055,398",11291,Generation X
23045,Slovenia,1995,female,15-24 years,6,144100,4.16,Slovenia1995,0.782,"21,273,055,398",11291,Generation X
23046,Slovenia,1995,male,5-14 years,3,131800,2.28,Slovenia1995,0.782,"21,273,055,398",11291,Millenials
23047,Slovenia,1995,female,5-14 years,1,125500,0.8,Slovenia1995,0.782,"21,273,055,398",11291,Millenials
23048,Slovenia,1996,male,75+ years,30,26100,114.94,Slovenia1996,,"21,480,023,017",11346,G.I. Generation
23049,Slovenia,1996,male,55-74 years,154,165900,92.83,Slovenia1996,,"21,480,023,017",11346,Silent
23050,Slovenia,1996,male,35-54 years,178,290500,61.27,Slovenia1996,,"21,480,023,017",11346,Boomers
23051,Slovenia,1996,male,25-34 years,68,151900,44.77,Slovenia1996,,"21,480,023,017",11346,Generation X
23052,Slovenia,1996,female,75+ years,16,59800,26.76,Slovenia1996,,"21,480,023,017",11346,G.I. Generation
23053,Slovenia,1996,female,55-74 years,51,216400,23.57,Slovenia1996,,"21,480,023,017",11346,Silent
