,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
23288,South Africa,1996,male,75+ years,6,167328,3.59,South Africa1996,,"147,607,982,695",3908,G.I. Generation
23289,South Africa,1996,male,25-34 years,32,3302060,0.97,South Africa1996,,"147,607,982,695",3908,Generation X
23290,South Africa,1996,male,35-54 years,36,4031071,0.89,South Africa1996,,"147,607,982,695",3908,Boomers
23291,South Africa,1996,male,55-74 years,10,1497309,0.67,South Africa1996,,"147,607,982,695",3908,Silent
23292,South Africa,1996,male,15-24 years,27,4363896,0.62,South Africa1996,,"147,607,982,695",3908,Generation X
23293,South Africa,1996,female,55-74 years,8,1784403,0.45,South Africa1996,,"147,607,982,695",3908,Silent
23294,South Africa,1996,female,75+ years,1,319242,0.31,South Africa1996,,"147,607,982,695",3908,G.I. Generation
23295,South Africa,1996,female,15-24 years,12,4384015,0.27,South Africa1996,,"147,607,982,695",3908,Generation X
23296,South Africa,1996,female,35-54 years,8,4301900,0.19,South Africa1996,,"147,607,982,695",3908,Boomers
23297,South Africa,1996,male,5-14 years,2,5115933,0.04,South Africa1996,,"147,607,982,695",3908,Millenials
23298,South Africa,1996,female,25-34 years,1,3428200,0.03,South Africa1996,,"147,607,982,695",3908,Generation X
23299,South Africa,1996,female,5-14 years,0,5078295,0.0,South Africa1996,,"147,607,982,695",3908,Millenials
23300,South Africa,1997,female,75+ years,4,332140,1.2,South Africa1997,,"152,586,154,514",3960,G.I. Generation
23301,South Africa,1997,male,55-74 years,16,1532172,1.04,South Africa1997,,"152,586,154,514",3960,Silent
23302,South Africa,1997,male,25-34 years,20,3388675,0.59,South Africa1997,,"152,586,154,514",3960,Generation X
23303,South Africa,1997,male,75+ years,1,174961,0.57,South Africa1997,,"152,586,154,514",3960,G.I. Generation
23304,South Africa,1997,male,15-24 years,24,4465965,0.54,South Africa1997,,"152,586,154,514",3960,Generation X
23305,South Africa,1997,male,35-54 years,21,4141015,0.51,South Africa1997,,"152,586,154,514",3960,Boomers
23306,South Africa,1997,female,35-54 years,7,4431607,0.16,South Africa1997,,"152,586,154,514",3960,Boomers
23307,South Africa,1997,female,25-34 years,5,3508770,0.14,South Africa1997,,"152,586,154,514",3960,Generation X
23308,South Africa,1997,female,55-74 years,2,1839119,0.11,South Africa1997,,"152,586,154,514",3960,Silent
23309,South Africa,1997,female,15-24 years,4,4474858,0.09,South Africa1997,,"152,586,154,514",3960,Generation X
23310,South Africa,1997,female,5-14 years,0,5099973,0.0,South Africa1997,,"152,586,154,514",3960,Millenials
23311,South Africa,1997,male,5-14 years,0,5138902,0.0,South Africa1997,,"152,586,154,514",3960,Millenials
23312,South Africa,1998,male,75+ years,4,180629,2.21,South Africa1998,,"137,774,361,015",3512,G.I. Generation
23313,South Africa,1998,male,25-34 years,41,3477929,1.18,South Africa1998,,"137,774,361,015",3512,Generation X
23314,South Africa,1998,male,35-54 years,42,4251380,0.99,South Africa1998,,"137,774,361,015",3512,Boomers
23315,South Africa,1998,male,15-24 years,35,4561233,0.77,South Africa1998,,"137,774,361,015",3512,Generation X
23316,South Africa,1998,male,55-74 years,12,1567615,0.77,South Africa1998,,"137,774,361,015",3512,Silent
23317,South Africa,1998,female,75+ years,2,343513,0.58,South Africa1998,,"137,774,361,015",3512,G.I. Generation
23318,South Africa,1998,female,15-24 years,17,4559940,0.37,South Africa1998,,"137,774,361,015",3512,Generation X
23319,South Africa,1998,female,55-74 years,7,1894428,0.37,South Africa1998,,"137,774,361,015",3512,Silent
23320,South Africa,1998,female,35-54 years,10,4559720,0.22,South Africa1998,,"137,774,361,015",3512,Boomers
23321,South Africa,1998,female,25-34 years,5,3587008,0.14,South Africa1998,,"137,774,361,015",3512,Generation X
23322,South Africa,1998,male,5-14 years,3,5145480,0.06,South Africa1998,,"137,774,361,015",3512,Millenials
23323,South Africa,1998,female,5-14 years,2,5103593,0.04,South Africa1998,,"137,774,361,015",3512,Millenials
23324,South Africa,1999,male,75+ years,5,184389,2.71,South Africa1999,,"136,631,966,609",3424,G.I. Generation
23325,South Africa,1999,male,25-34 years,64,3570497,1.79,South Africa1999,,"136,631,966,609",3424,Generation X
23326,South Africa,1999,male,35-54 years,71,4365175,1.63,South Africa1999,,"136,631,966,609",3424,Boomers
23327,South Africa,1999,male,15-24 years,58,4649933,1.25,South Africa1999,,"136,631,966,609",3424,Generation X
23328,South Africa,1999,male,55-74 years,17,1603221,1.06,South Africa1999,,"136,631,966,609",3424,Silent
23329,South Africa,1999,female,75+ years,3,354019,0.85,South Africa1999,,"136,631,966,609",3424,G.I. Generation
23330,South Africa,1999,female,25-34 years,21,3664774,0.57,South Africa1999,,"136,631,966,609",3424,Generation X
23331,South Africa,1999,female,35-54 years,19,4689648,0.41,South Africa1999,,"136,631,966,609",3424,Boomers
23332,South Africa,1999,female,55-74 years,5,1949775,0.26,South Africa1999,,"136,631,966,609",3424,Silent
23333,South Africa,1999,female,15-24 years,10,4640195,0.22,South Africa1999,,"136,631,966,609",3424,Generation X
23334,South Africa,1999,male,5-14 years,4,5140790,0.08,South Africa1999,,"136,631,966,609",3424,Millenials
23335,South Africa,1999,female,5-14 years,2,5095144,0.04,South Africa1999,,"136,631,966,609",3424,Millenials
23336,South Africa,2000,male,75+ years,4,186160,2.15,South Africa2000,0.632,"136,361,854,808",3361,G.I. Generation
23337,South Africa,2000,male,35-54 years,79,4484198,1.76,South Africa2000,0.632,"136,361,854,808",3361,Boomers
23338,South Africa,2000,male,25-34 years,56,3666534,1.53,South Africa2000,0.632,"136,361,854,808",3361,Generation X
23339,South Africa,2000,male,55-74 years,24,1639109,1.46,South Africa2000,0.632,"136,361,854,808",3361,Silent
23340,South Africa,2000,male,15-24 years,41,4731845,0.87,South Africa2000,0.632,"136,361,854,808",3361,Generation X
23341,South Africa,2000,female,25-34 years,16,3743453,0.43,South Africa2000,0.632,"136,361,854,808",3361,Generation X
23342,South Africa,2000,female,15-24 years,18,4715537,0.38,South Africa2000,0.632,"136,361,854,808",3361,Generation X
23343,South Africa,2000,female,35-54 years,18,4823228,0.37,South Africa2000,0.632,"136,361,854,808",3361,Boomers
23344,South Africa,2000,female,75+ years,1,364031,0.27,South Africa2000,0.632,"136,361,854,808",3361,G.I. Generation
23345,South Africa,2000,female,55-74 years,4,2005213,0.2,South Africa2000,0.632,"136,361,854,808",3361,Silent
23346,South Africa,2000,male,5-14 years,5,5129271,0.1,South Africa2000,0.632,"136,361,854,808",3361,Millenials
23347,South Africa,2000,female,5-14 years,1,5079980,0.02,South Africa2000,0.632,"136,361,854,808",3361,Millenials
23348,South Africa,2001,male,75+ years,6,196844,3.05,South Africa2001,,"121,600,818,310",2953,Silent
23349,South Africa,2001,male,25-34 years,102,3744470,2.72,South Africa2001,,"121,600,818,310",2953,Generation X
23350,South Africa,2001,male,35-54 years,99,4575178,2.16,South Africa2001,,"121,600,818,310",2953,Boomers
23351,South Africa,2001,male,15-24 years,86,4814340,1.79,South Africa2001,,"121,600,818,310",2953,Millenials
23352,South Africa,2001,male,55-74 years,15,1671023,0.9,South Africa2001,,"121,600,818,310",2953,Silent
23353,South Africa,2001,female,15-24 years,27,4783006,0.56,South Africa2001,,"121,600,818,310",2953,Millenials
23354,South Africa,2001,female,35-54 years,21,4940098,0.43,South Africa2001,,"121,600,818,310",2953,Boomers
23355,South Africa,2001,female,25-34 years,15,3806836,0.39,South Africa2001,,"121,600,818,310",2953,Generation X
23356,South Africa,2001,female,55-74 years,6,2053745,0.29,South Africa2001,,"121,600,818,310",2953,Silent
23357,South Africa,2001,male,5-14 years,4,5137175,0.08,South Africa2001,,"121,600,818,310",2953,Millenials
23358,South Africa,2001,female,5-14 years,3,5081802,0.06,South Africa2001,,"121,600,818,310",2953,Millenials
23359,South Africa,2001,female,75+ years,0,381082,0.0,South Africa2001,,"121,600,818,310",2953,Silent
23360,South Africa,2002,male,35-54 years,67,4667760,1.44,South Africa2002,,"115,748,110,113",2769,Boomers
23361,South Africa,2002,male,25-34 years,46,3829330,1.2,South Africa2002,,"115,748,110,113",2769,Generation X
23362,South Africa,2002,male,15-24 years,55,4895133,1.12,South Africa2002,,"115,748,110,113",2769,Millenials
23363,South Africa,2002,male,75+ years,2,205605,0.97,South Africa2002,,"115,748,110,113",2769,Silent
23364,South Africa,2002,male,55-74 years,14,1702348,0.82,South Africa2002,,"115,748,110,113",2769,Silent
23365,South Africa,2002,female,15-24 years,26,4851340,0.54,South Africa2002,,"115,748,110,113",2769,Millenials
23366,South Africa,2002,female,75+ years,1,396984,0.25,South Africa2002,,"115,748,110,113",2769,Silent
23367,South Africa,2002,female,55-74 years,4,2102686,0.19,South Africa2002,,"115,748,110,113",2769,Silent
23368,South Africa,2002,female,35-54 years,9,5057440,0.18,South Africa2002,,"115,748,110,113",2769,Boomers
23369,South Africa,2002,female,25-34 years,6,3871715,0.15,South Africa2002,,"115,748,110,113",2769,Generation X
23370,South Africa,2002,male,5-14 years,5,5141866,0.1,South Africa2002,,"115,748,110,113",2769,Millenials
23371,South Africa,2002,female,5-14 years,1,5081661,0.02,South Africa2002,,"115,748,110,113",2769,Millenials
23372,South Africa,2003,male,75+ years,4,212092,1.89,South Africa2003,,"175,256,916,996",4132,Silent
23373,South Africa,2003,male,25-34 years,61,3920433,1.56,South Africa2003,,"175,256,916,996",4132,Generation X
23374,South Africa,2003,male,35-54 years,58,4760427,1.22,South Africa2003,,"175,256,916,996",4132,Boomers
