,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
23528,Spain,1985,male,75+ years,305,691500,44.11,Spain1985,0.725,"180,302,412,231",5009,G.I. Generation
23529,Spain,1985,male,55-74 years,624,3115900,20.03,Spain1985,0.725,"180,302,412,231",5009,G.I. Generation
23530,Spain,1985,female,75+ years,131,1174800,11.15,Spain1985,0.725,"180,302,412,231",5009,G.I. Generation
23531,Spain,1985,male,35-54 years,497,4471200,11.12,Spain1985,0.725,"180,302,412,231",5009,Silent
23532,Spain,1985,male,25-34 years,219,2712700,8.07,Spain1985,0.725,"180,302,412,231",5009,Boomers
23533,Spain,1985,female,55-74 years,277,3683300,7.52,Spain1985,0.725,"180,302,412,231",5009,G.I. Generation
23534,Spain,1985,male,15-24 years,176,3330600,5.28,Spain1985,0.725,"180,302,412,231",5009,Generation X
23535,Spain,1985,female,35-54 years,174,4544800,3.83,Spain1985,0.725,"180,302,412,231",5009,Silent
23536,Spain,1985,female,25-34 years,59,2677200,2.2,Spain1985,0.725,"180,302,412,231",5009,Boomers
23537,Spain,1985,female,15-24 years,43,3195300,1.35,Spain1985,0.725,"180,302,412,231",5009,Generation X
23538,Spain,1985,male,5-14 years,8,3295100,0.24,Spain1985,0.725,"180,302,412,231",5009,Generation X
23539,Spain,1985,female,5-14 years,1,3104600,0.03,Spain1985,0.725,"180,302,412,231",5009,Generation X
23540,Spain,1986,male,75+ years,305,711500,42.87,Spain1986,,"250,638,463,467",6919,G.I. Generation
23541,Spain,1986,male,55-74 years,677,3178900,21.3,Spain1986,,"250,638,463,467",6919,G.I. Generation
23542,Spain,1986,male,35-54 years,538,4478200,12.01,Spain1986,,"250,638,463,467",6919,Silent
23543,Spain,1986,female,75+ years,127,1211300,10.48,Spain1986,,"250,638,463,467",6919,G.I. Generation
23544,Spain,1986,male,25-34 years,265,2772100,9.56,Spain1986,,"250,638,463,467",6919,Boomers
23545,Spain,1986,female,55-74 years,301,3738800,8.05,Spain1986,,"250,638,463,467",6919,G.I. Generation
23546,Spain,1986,male,15-24 years,227,3353400,6.77,Spain1986,,"250,638,463,467",6919,Generation X
23547,Spain,1986,female,35-54 years,157,4547100,3.45,Spain1986,,"250,638,463,467",6919,Silent
23548,Spain,1986,female,25-34 years,75,2735700,2.74,Spain1986,,"250,638,463,467",6919,Boomers
23549,Spain,1986,female,15-24 years,54,3207300,1.68,Spain1986,,"250,638,463,467",6919,Generation X
23550,Spain,1986,male,5-14 years,20,3239500,0.62,Spain1986,,"250,638,463,467",6919,Generation X
23551,Spain,1986,female,5-14 years,9,3049200,0.3,Spain1986,,"250,638,463,467",6919,Generation X
23552,Spain,1987,male,75+ years,335,736300,45.5,Spain1987,,"317,882,187,037",8727,G.I. Generation
23553,Spain,1987,male,55-74 years,693,3244700,21.36,Spain1987,,"317,882,187,037",8727,G.I. Generation
23554,Spain,1987,male,35-54 years,479,4474500,10.71,Spain1987,,"317,882,187,037",8727,Silent
23555,Spain,1987,female,75+ years,127,1261300,10.07,Spain1987,,"317,882,187,037",8727,G.I. Generation
23556,Spain,1987,male,25-34 years,277,2833500,9.78,Spain1987,,"317,882,187,037",8727,Boomers
23557,Spain,1987,female,55-74 years,320,3808600,8.4,Spain1987,,"317,882,187,037",8727,G.I. Generation
23558,Spain,1987,male,15-24 years,216,3362100,6.42,Spain1987,,"317,882,187,037",8727,Generation X
23559,Spain,1987,female,35-54 years,180,4549700,3.96,Spain1987,,"317,882,187,037",8727,Silent
23560,Spain,1987,female,25-34 years,90,2801900,3.21,Spain1987,,"317,882,187,037",8727,Boomers
23561,Spain,1987,female,15-24 years,68,3213800,2.12,Spain1987,,"317,882,187,037",8727,Generation X
23562,Spain,1987,male,5-14 years,17,3161900,0.54,Spain1987,,"317,882,187,037",8727,Generation X
23563,Spain,1987,female,5-14 years,2,2977400,0.07,Spain1987,,"317,882,187,037",8727,Generation X
23564,Spain,1988,male,75+ years,354,755200,46.88,Spain1988,,"375,138,723,325",10250,G.I. Generation
23565,Spain,1988,male,55-74 years,651,3307000,19.69,Spain1988,,"375,138,723,325",10250,G.I. Generation
23566,Spain,1988,female,75+ years,156,1297500,12.02,Spain1988,,"375,138,723,325",10250,G.I. Generation
23567,Spain,1988,male,35-54 years,537,4483800,11.98,Spain1988,,"375,138,723,325",10250,Silent
23568,Spain,1988,male,25-34 years,303,2906400,10.43,Spain1988,,"375,138,723,325",10250,Boomers
23569,Spain,1988,male,15-24 years,284,3371400,8.42,Spain1988,,"375,138,723,325",10250,Generation X
