,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
23900,Sri Lanka,1985,male,75+ years,144,115000,125.22,Sri Lanka1985,0.597,"5,978,460,972",431,G.I. Generation
23901,Sri Lanka,1985,male,15-24 years,1432,1673000,85.59,Sri Lanka1985,0.597,"5,978,460,972",431,Generation X
23902,Sri Lanka,1985,male,25-34 years,1024,1288000,79.5,Sri Lanka1985,0.597,"5,978,460,972",431,Boomers
23903,Sri Lanka,1985,male,55-74 years,443,680000,65.15,Sri Lanka1985,0.597,"5,978,460,972",431,G.I. Generation
23904,Sri Lanka,1985,female,15-24 years,943,1652000,57.08,Sri Lanka1985,0.597,"5,978,460,972",431,Generation X
23905,Sri Lanka,1985,male,35-54 years,824,1469000,56.09,Sri Lanka1985,0.597,"5,978,460,972",431,Silent
23906,Sri Lanka,1985,female,25-34 years,426,1268000,33.6,Sri Lanka1985,0.597,"5,978,460,972",431,Boomers
23907,Sri Lanka,1985,female,75+ years,23,106000,21.7,Sri Lanka1985,0.597,"5,978,460,972",431,G.I. Generation
23908,Sri Lanka,1985,female,35-54 years,203,1402000,14.48,Sri Lanka1985,0.597,"5,978,460,972",431,Silent
23909,Sri Lanka,1985,female,55-74 years,80,600000,13.33,Sri Lanka1985,0.597,"5,978,460,972",431,G.I. Generation
23910,Sri Lanka,1985,male,5-14 years,71,1836000,3.87,Sri Lanka1985,0.597,"5,978,460,972",431,Generation X
23911,Sri Lanka,1985,female,5-14 years,55,1768000,3.11,Sri Lanka1985,0.597,"5,978,460,972",431,Generation X
23912,Sri Lanka,1986,male,75+ years,145,117200,123.72,Sri Lanka1986,,"6,405,210,564",454,G.I. Generation
23913,Sri Lanka,1986,male,25-34 years,1045,1310300,79.75,Sri Lanka1986,,"6,405,210,564",454,Boomers
23914,Sri Lanka,1986,male,15-24 years,1304,1702300,76.6,Sri Lanka1986,,"6,405,210,564",454,Generation X
