,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
24032,Suriname,1985,male,35-54 years,20,20500,97.56,Suriname1985,,"873,250,000",2706,Silent
24033,Suriname,1985,male,75+ years,2,2200,90.91,Suriname1985,,"873,250,000",2706,G.I. Generation
24034,Suriname,1985,male,25-34 years,11,16100,68.32,Suriname1985,,"873,250,000",2706,Boomers
24035,Suriname,1985,male,55-74 years,6,11700,51.28,Suriname1985,,"873,250,000",2706,G.I. Generation
24036,Suriname,1985,female,75+ years,2,4200,47.62,Suriname1985,,"873,250,000",2706,G.I. Generation
24037,Suriname,1985,female,55-74 years,5,15000,33.33,Suriname1985,,"873,250,000",2706,G.I. Generation
24038,Suriname,1985,male,15-24 years,17,53700,31.66,Suriname1985,,"873,250,000",2706,Generation X
24039,Suriname,1985,female,35-54 years,7,22600,30.97,Suriname1985,,"873,250,000",2706,Silent
24040,Suriname,1985,female,15-24 years,7,51400,13.62,Suriname1985,,"873,250,000",2706,Generation X
24041,Suriname,1985,male,5-14 years,2,54600,3.66,Suriname1985,,"873,250,000",2706,Generation X
24042,Suriname,1985,female,5-14 years,1,52400,1.91,Suriname1985,,"873,250,000",2706,Generation X
24043,Suriname,1985,female,25-34 years,0,18300,0.0,Suriname1985,,"873,250,000",2706,Boomers
24044,Suriname,1986,male,75+ years,2,2867,69.76,Suriname1986,,"891,000,000",2731,G.I. Generation
24045,Suriname,1986,male,15-24 years,13,43404,29.95,Suriname1986,,"891,000,000",2731,Generation X
24046,Suriname,1986,female,75+ years,1,3737,26.76,Suriname1986,,"891,000,000",2731,G.I. Generation
24047,Suriname,1986,male,35-54 years,7,32808,21.34,Suriname1986,,"891,000,000",2731,Silent
24048,Suriname,1986,male,25-34 years,6,29250,20.51,Suriname1986,,"891,000,000",2731,Boomers
24049,Suriname,1986,female,15-24 years,6,40116,14.96,Suriname1986,,"891,000,000",2731,Generation X
24050,Suriname,1986,male,55-74 years,2,15344,13.03,Suriname1986,,"891,000,000",2731,G.I. Generation
24051,Suriname,1986,female,25-34 years,2,28111,7.11,Suriname1986,,"891,000,000",2731,Boomers
24052,Suriname,1986,female,35-54 years,2,33022,6.06,Suriname1986,,"891,000,000",2731,Silent
24053,Suriname,1986,female,5-14 years,1,39865,2.51,Suriname1986,,"891,000,000",2731,Generation X
24054,Suriname,1986,female,55-74 years,0,15921,0.0,Suriname1986,,"891,000,000",2731,G.I. Generation
24055,Suriname,1986,male,5-14 years,0,41849,0.0,Suriname1986,,"891,000,000",2731,Generation X
24056,Suriname,1987,male,75+ years,2,2919,68.52,Suriname1987,,"979,850,000",2951,G.I. Generation
24057,Suriname,1987,male,25-34 years,13,30977,41.97,Suriname1987,,"979,850,000",2951,Boomers
24058,Suriname,1987,male,35-54 years,12,33400,35.93,Suriname1987,,"979,850,000",2951,Silent
24059,Suriname,1987,male,55-74 years,5,15788,31.67,Suriname1987,,"979,850,000",2951,G.I. Generation
24060,Suriname,1987,female,75+ years,1,3776,26.48,Suriname1987,,"979,850,000",2951,G.I. Generation
24061,Suriname,1987,female,15-24 years,8,40204,19.9,Suriname1987,,"979,850,000",2951,Generation X
24062,Suriname,1987,male,15-24 years,8,43517,18.38,Suriname1987,,"979,850,000",2951,Generation X
24063,Suriname,1987,female,25-34 years,1,29656,3.37,Suriname1987,,"979,850,000",2951,Boomers
24064,Suriname,1987,female,35-54 years,1,33647,2.97,Suriname1987,,"979,850,000",2951,Silent
24065,Suriname,1987,female,5-14 years,1,39799,2.51,Suriname1987,,"979,850,000",2951,Generation X
24066,Suriname,1987,female,55-74 years,0,16552,0.0,Suriname1987,,"979,850,000",2951,G.I. Generation
24067,Suriname,1987,male,5-14 years,0,41778,0.0,Suriname1987,,"979,850,000",2951,Generation X
24068,Suriname,1988,male,25-34 years,12,32853,36.53,Suriname1988,,"1,160,900,000",3418,Boomers
24069,Suriname,1988,male,75+ years,1,2960,33.78,Suriname1988,,"1,160,900,000",3418,G.I. Generation
24070,Suriname,1988,female,75+ years,1,3816,26.21,Suriname1988,,"1,160,900,000",3418,G.I. Generation
24071,Suriname,1988,female,15-24 years,10,40327,24.8,Suriname1988,,"1,160,900,000",3418,Generation X
24072,Suriname,1988,female,55-74 years,4,17297,23.13,Suriname1988,,"1,160,900,000",3418,G.I. Generation
24073,Suriname,1988,male,15-24 years,9,43613,20.64,Suriname1988,,"1,160,900,000",3418,Generation X
24074,Suriname,1988,male,35-54 years,7,34213,20.46,Suriname1988,,"1,160,900,000",3418,Silent
24075,Suriname,1988,male,55-74 years,3,16330,18.37,Suriname1988,,"1,160,900,000",3418,G.I. Generation
24076,Suriname,1988,female,35-54 years,2,34480,5.8,Suriname1988,,"1,160,900,000",3418,Silent
24077,Suriname,1988,female,25-34 years,0,31329,0.0,Suriname1988,,"1,160,900,000",3418,Boomers
24078,Suriname,1988,female,5-14 years,0,40174,0.0,Suriname1988,,"1,160,900,000",3418,Generation X
24079,Suriname,1988,male,5-14 years,0,42219,0.0,Suriname1988,,"1,160,900,000",3418,Generation X
