,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
24368,Sweden,1987,male,75+ years,124,247100,50.18,Sweden1987,,"180,429,286,796",22813,G.I. Generation
24369,Sweden,1987,male,35-54 years,394,1124000,35.05,Sweden1987,,"180,429,286,796",22813,Silent
24370,Sweden,1987,male,55-74 years,281,819700,34.28,Sweden1987,,"180,429,286,796",22813,G.I. Generation
24371,Sweden,1987,male,25-34 years,174,580200,29.99,Sweden1987,,"180,429,286,796",22813,Boomers
24372,Sweden,1987,female,75+ years,73,397900,18.35,Sweden1987,,"180,429,286,796",22813,G.I. Generation
24373,Sweden,1987,female,35-54 years,185,1085200,17.05,Sweden1987,,"180,429,286,796",22813,Silent
24374,Sweden,1987,male,15-24 years,102,604100,16.88,Sweden1987,,"180,429,286,796",22813,Generation X
24375,Sweden,1987,female,55-74 years,117,908000,12.89,Sweden1987,,"180,429,286,796",22813,G.I. Generation
24376,Sweden,1987,female,25-34 years,57,554200,10.29,Sweden1987,,"180,429,286,796",22813,Boomers
24377,Sweden,1987,female,15-24 years,32,575200,5.56,Sweden1987,,"180,429,286,796",22813,Generation X
24378,Sweden,1987,male,5-14 years,2,518700,0.39,Sweden1987,,"180,429,286,796",22813,Generation X
24379,Sweden,1987,female,5-14 years,0,494700,0.0,Sweden1987,,"180,429,286,796",22813,Generation X
24380,Sweden,1988,male,75+ years,119,252200,47.18,Sweden1988,,"204,068,257,818",25731,G.I. Generation
24381,Sweden,1988,male,55-74 years,298,811700,36.71,Sweden1988,,"204,068,257,818",25731,G.I. Generation
24382,Sweden,1988,male,35-54 years,394,1140400,34.55,Sweden1988,,"204,068,257,818",25731,Silent
24383,Sweden,1988,male,25-34 years,174,583000,29.85,Sweden1988,,"204,068,257,818",25731,Boomers
24384,Sweden,1988,female,35-54 years,204,1100100,18.54,Sweden1988,,"204,068,257,818",25731,Silent
24385,Sweden,1988,male,15-24 years,110,605800,18.16,Sweden1988,,"204,068,257,818",25731,Generation X
24386,Sweden,1988,female,55-74 years,134,899400,14.9,Sweden1988,,"204,068,257,818",25731,G.I. Generation
24387,Sweden,1988,female,75+ years,56,406900,13.76,Sweden1988,,"204,068,257,818",25731,G.I. Generation
24388,Sweden,1988,female,25-34 years,63,555900,11.33,Sweden1988,,"204,068,257,818",25731,Boomers
24389,Sweden,1988,female,15-24 years,34,576900,5.89,Sweden1988,,"204,068,257,818",25731,Generation X
24390,Sweden,1988,male,5-14 years,3,511500,0.59,Sweden1988,,"204,068,257,818",25731,Generation X
24391,Sweden,1988,female,5-14 years,1,487100,0.21,Sweden1988,,"204,068,257,818",25731,Generation X
24392,Sweden,1989,male,75+ years,137,257100,53.29,Sweden1989,,"214,875,344,910",26978,G.I. Generation
24393,Sweden,1989,male,55-74 years,284,803800,35.33,Sweden1989,,"214,875,344,910",26978,G.I. Generation
24394,Sweden,1989,male,25-34 years,200,593100,33.72,Sweden1989,,"214,875,344,910",26978,Boomers
24395,Sweden,1989,male,35-54 years,381,1157700,32.91,Sweden1989,,"214,875,344,910",26978,Silent
24396,Sweden,1989,male,15-24 years,120,605200,19.83,Sweden1989,,"214,875,344,910",26978,Generation X
