,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
24726,Switzerland,1995,male,75+ years,146,165500,88.22,Switzerland1995,0.846,"342,617,007,104",51774,G.I. Generation
24727,Switzerland,1995,male,55-74 years,262,593600,44.14,Switzerland1995,0.846,"342,617,007,104",51774,Silent
24728,Switzerland,1995,male,35-54 years,358,1026800,34.87,Switzerland1995,0.846,"342,617,007,104",51774,Boomers
24729,Switzerland,1995,male,25-34 years,146,585400,24.94,Switzerland1995,0.846,"342,617,007,104",51774,Generation X
24730,Switzerland,1995,male,15-24 years,104,429600,24.21,Switzerland1995,0.846,"342,617,007,104",51774,Generation X
24731,Switzerland,1995,female,55-74 years,143,686200,20.84,Switzerland1995,0.846,"342,617,007,104",51774,Silent
24732,Switzerland,1995,female,75+ years,55,305100,18.03,Switzerland1995,0.846,"342,617,007,104",51774,G.I. Generation
24733,Switzerland,1995,female,35-54 years,130,1003000,12.96,Switzerland1995,0.846,"342,617,007,104",51774,Boomers
24734,Switzerland,1995,female,25-34 years,45,584300,7.7,Switzerland1995,0.846,"342,617,007,104",51774,Generation X
24735,Switzerland,1995,female,15-24 years,28,419100,6.68,Switzerland1995,0.846,"342,617,007,104",51774,Generation X
24736,Switzerland,1995,male,5-14 years,2,420500,0.48,Switzerland1995,0.846,"342,617,007,104",51774,Millenials
24737,Switzerland,1995,female,5-14 years,0,398400,0.0,Switzerland1995,0.846,"342,617,007,104",51774,Millenials
24738,Switzerland,1996,male,75+ years,136,169600,80.19,Switzerland1996,,"330,091,688,350",49621,G.I. Generation
24739,Switzerland,1996,male,55-74 years,255,599400,42.54,Switzerland1996,,"330,091,688,350",49621,Silent
24740,Switzerland,1996,male,35-54 years,357,1040900,34.3,Switzerland1996,,"330,091,688,350",49621,Boomers
24741,Switzerland,1996,male,25-34 years,153,577800,26.48,Switzerland1996,,"330,091,688,350",49621,Generation X
24742,Switzerland,1996,male,15-24 years,105,424200,24.75,Switzerland1996,,"330,091,688,350",49621,Generation X
24743,Switzerland,1996,female,75+ years,73,310600,23.5,Switzerland1996,,"330,091,688,350",49621,G.I. Generation
24744,Switzerland,1996,female,55-74 years,126,689700,18.27,Switzerland1996,,"330,091,688,350",49621,Silent
24745,Switzerland,1996,female,35-54 years,150,1017500,14.74,Switzerland1996,,"330,091,688,350",49621,Boomers
24746,Switzerland,1996,female,25-34 years,50,580400,8.61,Switzerland1996,,"330,091,688,350",49621,Generation X
24747,Switzerland,1996,female,15-24 years,23,413000,5.57,Switzerland1996,,"330,091,688,350",49621,Generation X
24748,Switzerland,1996,male,5-14 years,4,426000,0.94,Switzerland1996,,"330,091,688,350",49621,Millenials
24749,Switzerland,1996,female,5-14 years,0,403100,0.0,Switzerland1996,,"330,091,688,350",49621,Millenials
24750,Switzerland,1997,male,75+ years,134,173300,77.32,Switzerland1997,,"286,519,135,327",42923,G.I. Generation
24751,Switzerland,1997,male,55-74 years,229,608200,37.65,Switzerland1997,,"286,519,135,327",42923,Silent
24752,Switzerland,1997,male,35-54 years,354,1051900,33.65,Switzerland1997,,"286,519,135,327",42923,Boomers
24753,Switzerland,1997,female,75+ years,92,315500,29.16,Switzerland1997,,"286,519,135,327",42923,G.I. Generation
24754,Switzerland,1997,male,25-34 years,147,565900,25.98,Switzerland1997,,"286,519,135,327",42923,Generation X
24755,Switzerland,1997,male,15-24 years,97,420100,23.09,Switzerland1997,,"286,519,135,327",42923,Generation X
24756,Switzerland,1997,female,55-74 years,102,695300,14.67,Switzerland1997,,"286,519,135,327",42923,Silent
24757,Switzerland,1997,female,35-54 years,117,1029600,11.36,Switzerland1997,,"286,519,135,327",42923,Boomers
24758,Switzerland,1997,female,25-34 years,43,571900,7.52,Switzerland1997,,"286,519,135,327",42923,Generation X
24759,Switzerland,1997,female,15-24 years,23,407400,5.65,Switzerland1997,,"286,519,135,327",42923,Generation X
24760,Switzerland,1997,male,5-14 years,2,429700,0.47,Switzerland1997,,"286,519,135,327",42923,Millenials
24761,Switzerland,1997,female,5-14 years,1,406400,0.25,Switzerland1997,,"286,519,135,327",42923,Millenials
24762,Switzerland,1998,male,75+ years,153,177045,86.42,Switzerland1998,,"295,045,152,021",43872,G.I. Generation
24763,Switzerland,1998,male,55-74 years,271,620438,43.68,Switzerland1998,,"295,045,152,021",43872,Silent
24764,Switzerland,1998,male,35-54 years,331,1067271,31.01,Switzerland1998,,"295,045,152,021",43872,Boomers
24765,Switzerland,1998,male,25-34 years,159,558838,28.45,Switzerland1998,,"295,045,152,021",43872,Generation X
24766,Switzerland,1998,female,75+ years,72,320373,22.47,Switzerland1998,,"295,045,152,021",43872,G.I. Generation
24767,Switzerland,1998,male,15-24 years,92,421825,21.81,Switzerland1998,,"295,045,152,021",43872,Generation X
24768,Switzerland,1998,female,55-74 years,106,703901,15.06,Switzerland1998,,"295,045,152,021",43872,Silent
24769,Switzerland,1998,female,35-54 years,129,1043297,12.36,Switzerland1998,,"295,045,152,021",43872,Boomers
24770,Switzerland,1998,female,15-24 years,23,407368,5.65,Switzerland1998,,"295,045,152,021",43872,Generation X
24771,Switzerland,1998,female,25-34 years,30,563300,5.33,Switzerland1998,,"295,045,152,021",43872,Generation X
24772,Switzerland,1998,male,5-14 years,3,432669,0.69,Switzerland1998,,"295,045,152,021",43872,Millenials
24773,Switzerland,1998,female,5-14 years,2,408842,0.49,Switzerland1998,,"295,045,152,021",43872,Millenials
24774,Switzerland,1999,male,75+ years,139,180723,76.91,Switzerland1999,,"289,912,492,345",42859,G.I. Generation
24775,Switzerland,1999,male,55-74 years,235,634368,37.04,Switzerland1999,,"289,912,492,345",42859,Silent
24776,Switzerland,1999,male,35-54 years,335,1080683,31.0,Switzerland1999,,"289,912,492,345",42859,Boomers
24777,Switzerland,1999,male,25-34 years,133,544276,24.44,Switzerland1999,,"289,912,492,345",42859,Generation X
24778,Switzerland,1999,female,75+ years,74,325491,22.73,Switzerland1999,,"289,912,492,345",42859,G.I. Generation
24779,Switzerland,1999,male,15-24 years,85,423265,20.08,Switzerland1999,,"289,912,492,345",42859,Generation X
24780,Switzerland,1999,female,55-74 years,108,713680,15.13,Switzerland1999,,"289,912,492,345",42859,Silent
24781,Switzerland,1999,female,35-54 years,125,1057759,11.82,Switzerland1999,,"289,912,492,345",42859,Boomers
24782,Switzerland,1999,female,25-34 years,37,550183,6.73,Switzerland1999,,"289,912,492,345",42859,Generation X
24783,Switzerland,1999,female,15-24 years,21,407508,5.15,Switzerland1999,,"289,912,492,345",42859,Generation X
