,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
24978,Thailand,1985,male,25-34 years,453,4104134,11.04,Thailand1985,0.539,"38,900,692,712",840,Boomers
24979,Thailand,1985,male,55-74 years,211,1912525,11.03,Thailand1985,0.539,"38,900,692,712",840,G.I. Generation
24980,Thailand,1985,female,15-24 years,593,5558670,10.67,Thailand1985,0.539,"38,900,692,712",840,Generation X
24981,Thailand,1985,male,15-24 years,573,5671609,10.1,Thailand1985,0.539,"38,900,692,712",840,Generation X
24982,Thailand,1985,male,75+ years,28,289378,9.68,Thailand1985,0.539,"38,900,692,712",840,G.I. Generation
24983,Thailand,1985,male,35-54 years,448,4748330,9.43,Thailand1985,0.539,"38,900,692,712",840,Silent
24984,Thailand,1985,female,25-34 years,254,4232095,6.0,Thailand1985,0.539,"38,900,692,712",840,Boomers
24985,Thailand,1985,female,35-54 years,236,4923818,4.79,Thailand1985,0.539,"38,900,692,712",840,Silent
24986,Thailand,1985,female,55-74 years,94,2055721,4.57,Thailand1985,0.539,"38,900,692,712",840,G.I. Generation
24987,Thailand,1985,female,75+ years,17,424010,4.01,Thailand1985,0.539,"38,900,692,712",840,G.I. Generation
24988,Thailand,1985,female,5-14 years,46,6090740,0.76,Thailand1985,0.539,"38,900,692,712",840,Generation X
24989,Thailand,1985,male,5-14 years,29,6292413,0.46,Thailand1985,0.539,"38,900,692,712",840,Generation X
24990,Thailand,1986,male,55-74 years,214,2003202,10.68,Thailand1986,,"43,096,746,122",911,G.I. Generation
24991,Thailand,1986,male,25-34 years,449,4245701,10.58,Thailand1986,,"43,096,746,122",911,Boomers
24992,Thailand,1986,male,35-54 years,495,4920429,10.06,Thailand1986,,"43,096,746,122",911,Silent
24993,Thailand,1986,male,15-24 years,555,5782196,9.6,Thailand1986,,"43,096,746,122",911,Generation X
24994,Thailand,1986,female,15-24 years,485,5664614,8.56,Thailand1986,,"43,096,746,122",911,Generation X
