,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
25312,Trinidad and Tobago,1985,male,35-54 years,9,100000,9.0,Trinidad and Tobago1985,0.6729999999999999,"7,375,918,367",7317,Silent
25313,Trinidad and Tobago,1985,male,25-34 years,8,93000,8.6,Trinidad and Tobago1985,0.6729999999999999,"7,375,918,367",7317,Boomers
25314,Trinidad and Tobago,1985,male,55-74 years,2,51000,3.92,Trinidad and Tobago1985,0.6729999999999999,"7,375,918,367",7317,G.I. Generation
25315,Trinidad and Tobago,1985,male,15-24 years,4,123000,3.25,Trinidad and Tobago1985,0.6729999999999999,"7,375,918,367",7317,Generation X
25316,Trinidad and Tobago,1985,female,15-24 years,3,123000,2.44,Trinidad and Tobago1985,0.6729999999999999,"7,375,918,367",7317,Generation X
25317,Trinidad and Tobago,1985,female,25-34 years,2,93000,2.15,Trinidad and Tobago1985,0.6729999999999999,"7,375,918,367",7317,Boomers
25318,Trinidad and Tobago,1985,male,5-14 years,1,124000,0.81,Trinidad and Tobago1985,0.6729999999999999,"7,375,918,367",7317,Generation X
25319,Trinidad and Tobago,1985,female,35-54 years,0,102000,0.0,Trinidad and Tobago1985,0.6729999999999999,"7,375,918,367",7317,Silent
25320,Trinidad and Tobago,1985,female,5-14 years,0,121000,0.0,Trinidad and Tobago1985,0.6729999999999999,"7,375,918,367",7317,Generation X
25321,Trinidad and Tobago,1985,female,55-74 years,0,55000,0.0,Trinidad and Tobago1985,0.6729999999999999,"7,375,918,367",7317,G.I. Generation
25322,Trinidad and Tobago,1985,female,75+ years,0,14000,0.0,Trinidad and Tobago1985,0.6729999999999999,"7,375,918,367",7317,G.I. Generation
25323,Trinidad and Tobago,1985,male,75+ years,0,9000,0.0,Trinidad and Tobago1985,0.6729999999999999,"7,375,918,367",7317,G.I. Generation
25324,Trinidad and Tobago,1986,male,25-34 years,25,100800,24.8,Trinidad and Tobago1986,,"4,794,444,444",4516,Boomers
25325,Trinidad and Tobago,1986,male,35-54 years,21,106900,19.64,Trinidad and Tobago1986,,"4,794,444,444",4516,Silent
25326,Trinidad and Tobago,1986,male,55-74 years,8,51800,15.44,Trinidad and Tobago1986,,"4,794,444,444",4516,G.I. Generation
25327,Trinidad and Tobago,1986,male,75+ years,1,9200,10.87,Trinidad and Tobago1986,,"4,794,444,444",4516,G.I. Generation
25328,Trinidad and Tobago,1986,male,15-24 years,13,129300,10.05,Trinidad and Tobago1986,,"4,794,444,444",4516,Generation X
25329,Trinidad and Tobago,1986,female,15-24 years,12,130300,9.21,Trinidad and Tobago1986,,"4,794,444,444",4516,Generation X
25330,Trinidad and Tobago,1986,female,25-34 years,9,100800,8.93,Trinidad and Tobago1986,,"4,794,444,444",4516,Boomers
25331,Trinidad and Tobago,1986,female,75+ years,1,12200,8.2,Trinidad and Tobago1986,,"4,794,444,444",4516,G.I. Generation
25332,Trinidad and Tobago,1986,female,35-54 years,9,109900,8.19,Trinidad and Tobago1986,,"4,794,444,444",4516,Silent
25333,Trinidad and Tobago,1986,female,55-74 years,4,56900,7.03,Trinidad and Tobago1986,,"4,794,444,444",4516,G.I. Generation
25334,Trinidad and Tobago,1986,male,5-14 years,1,130300,0.77,Trinidad and Tobago1986,,"4,794,444,444",4516,Generation X
25335,Trinidad and Tobago,1986,female,5-14 years,0,123200,0.0,Trinidad and Tobago1986,,"4,794,444,444",4516,Generation X
25336,Trinidad and Tobago,1987,male,75+ years,4,9300,43.01,Trinidad and Tobago1987,,"4,797,777,778",4449,G.I. Generation
25337,Trinidad and Tobago,1987,male,25-34 years,30,102500,29.27,Trinidad and Tobago1987,,"4,797,777,778",4449,Boomers
25338,Trinidad and Tobago,1987,male,35-54 years,23,108600,21.18,Trinidad and Tobago1987,,"4,797,777,778",4449,Silent
25339,Trinidad and Tobago,1987,male,15-24 years,25,131200,19.05,Trinidad and Tobago1987,,"4,797,777,778",4449,Generation X
25340,Trinidad and Tobago,1987,male,55-74 years,9,52700,17.08,Trinidad and Tobago1987,,"4,797,777,778",4449,G.I. Generation
25341,Trinidad and Tobago,1987,female,35-54 years,9,111700,8.06,Trinidad and Tobago1987,,"4,797,777,778",4449,Silent
25342,Trinidad and Tobago,1987,female,25-34 years,7,102500,6.83,Trinidad and Tobago1987,,"4,797,777,778",4449,Boomers
25343,Trinidad and Tobago,1987,female,15-24 years,8,132200,6.05,Trinidad and Tobago1987,,"4,797,777,778",4449,Generation X
25344,Trinidad and Tobago,1987,female,55-74 years,2,57900,3.45,Trinidad and Tobago1987,,"4,797,777,778",4449,G.I. Generation
25345,Trinidad and Tobago,1987,female,5-14 years,1,125100,0.8,Trinidad and Tobago1987,,"4,797,777,778",4449,Generation X
25346,Trinidad and Tobago,1987,male,5-14 years,1,132300,0.76,Trinidad and Tobago1987,,"4,797,777,778",4449,Generation X
25347,Trinidad and Tobago,1987,female,75+ years,0,12300,0.0,Trinidad and Tobago1987,,"4,797,777,778",4449,G.I. Generation
25348,Trinidad and Tobago,1988,male,75+ years,5,9400,53.19,Trinidad and Tobago1988,,"4,496,852,073",4104,G.I. Generation
25349,Trinidad and Tobago,1988,male,25-34 years,39,104100,37.46,Trinidad and Tobago1988,,"4,496,852,073",4104,Boomers
25350,Trinidad and Tobago,1988,male,55-74 years,20,53500,37.38,Trinidad and Tobago1988,,"4,496,852,073",4104,G.I. Generation
25351,Trinidad and Tobago,1988,male,35-54 years,32,110300,29.01,Trinidad and Tobago1988,,"4,496,852,073",4104,Silent
25352,Trinidad and Tobago,1988,male,15-24 years,22,133500,16.48,Trinidad and Tobago1988,,"4,496,852,073",4104,Generation X
25353,Trinidad and Tobago,1988,female,75+ years,2,12400,16.13,Trinidad and Tobago1988,,"4,496,852,073",4104,G.I. Generation
25354,Trinidad and Tobago,1988,female,25-34 years,16,104100,15.37,Trinidad and Tobago1988,,"4,496,852,073",4104,Boomers
25355,Trinidad and Tobago,1988,female,35-54 years,13,113400,11.46,Trinidad and Tobago1988,,"4,496,852,073",4104,Silent
25356,Trinidad and Tobago,1988,female,15-24 years,10,134500,7.43,Trinidad and Tobago1988,,"4,496,852,073",4104,Generation X
25357,Trinidad and Tobago,1988,female,5-14 years,4,127200,3.14,Trinidad and Tobago1988,,"4,496,852,073",4104,Generation X
25358,Trinidad and Tobago,1988,female,55-74 years,1,58700,1.7,Trinidad and Tobago1988,,"4,496,852,073",4104,G.I. Generation
25359,Trinidad and Tobago,1988,male,5-14 years,0,134500,0.0,Trinidad and Tobago1988,,"4,496,852,073",4104,Generation X
25360,Trinidad and Tobago,1989,male,35-54 years,45,111000,40.54,Trinidad and Tobago1989,,"4,323,058,824",4040,Silent
25361,Trinidad and Tobago,1989,male,25-34 years,37,105000,35.24,Trinidad and Tobago1989,,"4,323,058,824",4040,Boomers
25362,Trinidad and Tobago,1989,male,55-74 years,15,52000,28.85,Trinidad and Tobago1989,,"4,323,058,824",4040,G.I. Generation
25363,Trinidad and Tobago,1989,male,15-24 years,30,116000,25.86,Trinidad and Tobago1989,,"4,323,058,824",4040,Generation X
25364,Trinidad and Tobago,1989,male,75+ years,2,9000,22.22,Trinidad and Tobago1989,,"4,323,058,824",4040,G.I. Generation
25365,Trinidad and Tobago,1989,female,15-24 years,20,116000,17.24,Trinidad and Tobago1989,,"4,323,058,824",4040,Generation X
25366,Trinidad and Tobago,1989,female,35-54 years,11,115000,9.57,Trinidad and Tobago1989,,"4,323,058,824",4040,Silent
25367,Trinidad and Tobago,1989,female,75+ years,1,15000,6.67,Trinidad and Tobago1989,,"4,323,058,824",4040,G.I. Generation
25368,Trinidad and Tobago,1989,female,25-34 years,5,107000,4.67,Trinidad and Tobago1989,,"4,323,058,824",4040,Boomers
25369,Trinidad and Tobago,1989,female,55-74 years,2,56000,3.57,Trinidad and Tobago1989,,"4,323,058,824",4040,G.I. Generation
