,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
25636,Turkey,2009,male,75+ years,33,806623,4.09,Turkey2009,,"644,639,902,581",9773,Silent
25637,Turkey,2009,male,55-74 years,130,3897113,3.34,Turkey2009,,"644,639,902,581",9773,Silent
25638,Turkey,2009,male,35-54 years,287,9160329,3.13,Turkey2009,,"644,639,902,581",9773,Boomers
25639,Turkey,2009,male,25-34 years,189,6272520,3.01,Turkey2009,,"644,639,902,581",9773,Generation X
25640,Turkey,2009,male,15-24 years,139,6380792,2.18,Turkey2009,,"644,639,902,581",9773,Millenials
25641,Turkey,2009,female,75+ years,17,1170072,1.45,Turkey2009,,"644,639,902,581",9773,Silent
25642,Turkey,2009,female,15-24 years,74,6097408,1.21,Turkey2009,,"644,639,902,581",9773,Millenials
25643,Turkey,2009,female,55-74 years,38,4301203,0.88,Turkey2009,,"644,639,902,581",9773,Silent
25644,Turkey,2009,female,25-34 years,44,6101898,0.72,Turkey2009,,"644,639,902,581",9773,Generation X
25645,Turkey,2009,female,35-54 years,58,9027289,0.64,Turkey2009,,"644,639,902,581",9773,Boomers
25646,Turkey,2009,male,5-14 years,23,6542691,0.35,Turkey2009,,"644,639,902,581",9773,Generation Z
25647,Turkey,2009,female,5-14 years,18,6204481,0.29,Turkey2009,,"644,639,902,581",9773,Generation Z
25648,Turkey,2010,male,75+ years,63,841083,7.49,Turkey2010,0.738,"771,901,768,698",11525,Silent
25649,Turkey,2010,male,35-54 years,397,9318882,4.26,Turkey2010,0.738,"771,901,768,698",11525,Generation X
25650,Turkey,2010,male,55-74 years,175,4131848,4.24,Turkey2010,0.738,"771,901,768,698",11525,Silent
25651,Turkey,2010,male,25-34 years,248,6363299,3.9,Turkey2010,0.738,"771,901,768,698",11525,Generation X
25652,Turkey,2010,male,15-24 years,238,6411111,3.71,Turkey2010,0.738,"771,901,768,698",11525,Millenials
25653,Turkey,2010,female,75+ years,28,1226764,2.28,Turkey2010,0.738,"771,901,768,698",11525,Silent
25654,Turkey,2010,female,15-24 years,95,6118805,1.55,Turkey2010,0.738,"771,901,768,698",11525,Millenials
25655,Turkey,2010,female,55-74 years,57,4537405,1.26,Turkey2010,0.738,"771,901,768,698",11525,Silent
25656,Turkey,2010,female,35-54 years,110,9153406,1.2,Turkey2010,0.738,"771,901,768,698",11525,Generation X
25657,Turkey,2010,female,25-34 years,61,6170592,0.99,Turkey2010,0.738,"771,901,768,698",11525,Generation X
25658,Turkey,2010,male,5-14 years,27,6519482,0.41,Turkey2010,0.738,"771,901,768,698",11525,Generation Z
25659,Turkey,2010,female,5-14 years,25,6182454,0.4,Turkey2010,0.738,"771,901,768,698",11525,Generation Z
25660,Turkey,2011,male,75+ years,45,860492,5.23,Turkey2011,0.7509999999999999,"832,523,681,194",12237,Silent
25661,Turkey,2011,male,55-74 years,162,4380447,3.7,Turkey2011,0.7509999999999999,"832,523,681,194",12237,Boomers
25662,Turkey,2011,male,35-54 years,266,9478566,2.81,Turkey2011,0.7509999999999999,"832,523,681,194",12237,Generation X
25663,Turkey,2011,male,25-34 years,180,6458549,2.79,Turkey2011,0.7509999999999999,"832,523,681,194",12237,Millenials
25664,Turkey,2011,male,15-24 years,177,6416997,2.76,Turkey2011,0.7509999999999999,"832,523,681,194",12237,Millenials
25665,Turkey,2011,female,15-24 years,83,6126637,1.35,Turkey2011,0.7509999999999999,"832,523,681,194",12237,Millenials
25666,Turkey,2011,female,75+ years,15,1274924,1.18,Turkey2011,0.7509999999999999,"832,523,681,194",12237,Silent
25667,Turkey,2011,female,25-34 years,60,6266330,0.96,Turkey2011,0.7509999999999999,"832,523,681,194",12237,Millenials
25668,Turkey,2011,female,35-54 years,82,9296163,0.88,Turkey2011,0.7509999999999999,"832,523,681,194",12237,Generation X
25669,Turkey,2011,female,55-74 years,35,4781947,0.73,Turkey2011,0.7509999999999999,"832,523,681,194",12237,Boomers
25670,Turkey,2011,female,5-14 years,23,6178913,0.37,Turkey2011,0.7509999999999999,"832,523,681,194",12237,Generation Z
25671,Turkey,2011,male,5-14 years,20,6514392,0.31,Turkey2011,0.7509999999999999,"832,523,681,194",12237,Generation Z
25672,Turkey,2012,male,75+ years,58,886919,6.54,Turkey2012,0.7559999999999999,"873,982,246,102",12671,Silent
25673,Turkey,2012,male,35-54 years,399,9718299,4.11,Turkey2012,0.7559999999999999,"873,982,246,102",12671,Generation X
25674,Turkey,2012,male,55-74 years,180,4532575,3.97,Turkey2012,0.7559999999999999,"873,982,246,102",12671,Boomers
25675,Turkey,2012,male,25-34 years,227,6494243,3.5,Turkey2012,0.7559999999999999,"873,982,246,102",12671,Millenials
25676,Turkey,2012,male,15-24 years,184,6425966,2.86,Turkey2012,0.7559999999999999,"873,982,246,102",12671,Millenials
25677,Turkey,2012,female,75+ years,23,1325413,1.74,Turkey2012,0.7559999999999999,"873,982,246,102",12671,Silent
25678,Turkey,2012,female,15-24 years,94,6140942,1.53,Turkey2012,0.7559999999999999,"873,982,246,102",12671,Millenials
25679,Turkey,2012,female,25-34 years,78,6314493,1.24,Turkey2012,0.7559999999999999,"873,982,246,102",12671,Millenials
25680,Turkey,2012,female,35-54 years,113,9539648,1.18,Turkey2012,0.7559999999999999,"873,982,246,102",12671,Generation X
25681,Turkey,2012,female,55-74 years,55,4925454,1.12,Turkey2012,0.7559999999999999,"873,982,246,102",12671,Boomers
25682,Turkey,2012,male,5-14 years,24,6503156,0.37,Turkey2012,0.7559999999999999,"873,982,246,102",12671,Generation Z
25683,Turkey,2012,female,5-14 years,15,6169331,0.24,Turkey2012,0.7559999999999999,"873,982,246,102",12671,Generation Z
25684,Turkey,2013,male,75+ years,76,915690,8.3,Turkey2013,0.759,"950,579,413,279",13603,Silent
25685,Turkey,2013,male,55-74 years,239,4664864,5.12,Turkey2013,0.759,"950,579,413,279",13603,Boomers
25686,Turkey,2013,male,35-54 years,477,9982233,4.78,Turkey2013,0.759,"950,579,413,279",13603,Generation X
25687,Turkey,2013,male,25-34 years,285,6491205,4.39,Turkey2013,0.759,"950,579,413,279",13603,Millenials
25688,Turkey,2013,male,15-24 years,253,6461036,3.92,Turkey2013,0.759,"950,579,413,279",13603,Millenials
25689,Turkey,2013,female,15-24 years,133,6177538,2.15,Turkey2013,0.759,"950,579,413,279",13603,Millenials
25690,Turkey,2013,female,75+ years,29,1374051,2.11,Turkey2013,0.759,"950,579,413,279",13603,Silent
25691,Turkey,2013,female,55-74 years,73,5052537,1.44,Turkey2013,0.759,"950,579,413,279",13603,Boomers
25692,Turkey,2013,female,25-34 years,87,6322406,1.38,Turkey2013,0.759,"950,579,413,279",13603,Millenials
25693,Turkey,2013,female,35-54 years,118,9808886,1.2,Turkey2013,0.759,"950,579,413,279",13603,Generation X
25694,Turkey,2013,female,5-14 years,23,6148825,0.37,Turkey2013,0.759,"950,579,413,279",13603,Generation Z
25695,Turkey,2013,male,5-14 years,17,6481081,0.26,Turkey2013,0.759,"950,579,413,279",13603,Generation Z
25696,Turkey,2014,male,75+ years,66,952449,6.93,Turkey2014,0.7609999999999999,"934,185,915,467",13170,Silent
25697,Turkey,2014,male,55-74 years,225,4851259,4.64,Turkey2014,0.7609999999999999,"934,185,915,467",13170,Boomers
25698,Turkey,2014,male,15-24 years,260,6517033,3.99,Turkey2014,0.7609999999999999,"934,185,915,467",13170,Millenials
25699,Turkey,2014,male,35-54 years,394,10244541,3.85,Turkey2014,0.7609999999999999,"934,185,915,467",13170,Generation X
25700,Turkey,2014,male,25-34 years,243,6484352,3.75,Turkey2014,0.7609999999999999,"934,185,915,467",13170,Millenials
25701,Turkey,2014,female,15-24 years,114,6220032,1.83,Turkey2014,0.7609999999999999,"934,185,915,467",13170,Millenials
25702,Turkey,2014,female,75+ years,23,1426848,1.61,Turkey2014,0.7609999999999999,"934,185,915,467",13170,Silent
