,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
25720,Turkmenistan,1987,male,75+ years,5,16500,30.3,Turkmenistan1987,,"2,331,358,820",815,G.I. Generation
25721,Turkmenistan,1987,male,55-74 years,28,106800,26.22,Turkmenistan1987,,"2,331,358,820",815,G.I. Generation
25722,Turkmenistan,1987,female,75+ years,8,31400,25.48,Turkmenistan1987,,"2,331,358,820",815,G.I. Generation
25723,Turkmenistan,1987,male,35-54 years,54,242600,22.26,Turkmenistan1987,,"2,331,358,820",815,Silent
25724,Turkmenistan,1987,female,55-74 years,28,148000,18.92,Turkmenistan1987,,"2,331,358,820",815,G.I. Generation
25725,Turkmenistan,1987,male,25-34 years,50,265600,18.83,Turkmenistan1987,,"2,331,358,820",815,Boomers
25726,Turkmenistan,1987,male,15-24 years,33,344800,9.57,Turkmenistan1987,,"2,331,358,820",815,Generation X
25727,Turkmenistan,1987,female,35-54 years,21,247500,8.48,Turkmenistan1987,,"2,331,358,820",815,Silent
25728,Turkmenistan,1987,female,15-24 years,24,340700,7.04,Turkmenistan1987,,"2,331,358,820",815,Generation X
25729,Turkmenistan,1987,female,25-34 years,12,274700,4.37,Turkmenistan1987,,"2,331,358,820",815,Boomers
25730,Turkmenistan,1987,male,5-14 years,5,423500,1.18,Turkmenistan1987,,"2,331,358,820",815,Generation X
25731,Turkmenistan,1987,female,5-14 years,4,417000,0.96,Turkmenistan1987,,"2,331,358,820",815,Generation X
25732,Turkmenistan,1988,male,75+ years,6,16700,35.93,Turkmenistan1988,,"3,010,982,414",1029,G.I. Generation
25733,Turkmenistan,1988,male,35-54 years,55,249600,22.04,Turkmenistan1988,,"3,010,982,414",1029,Silent
25734,Turkmenistan,1988,male,55-74 years,22,110500,19.91,Turkmenistan1988,,"3,010,982,414",1029,G.I. Generation
25735,Turkmenistan,1988,female,75+ years,6,32200,18.63,Turkmenistan1988,,"3,010,982,414",1029,G.I. Generation
25736,Turkmenistan,1988,male,25-34 years,48,276400,17.37,Turkmenistan1988,,"3,010,982,414",1029,Boomers
25737,Turkmenistan,1988,male,15-24 years,51,347500,14.68,Turkmenistan1988,,"3,010,982,414",1029,Generation X
25738,Turkmenistan,1988,female,55-74 years,21,150300,13.97,Turkmenistan1988,,"3,010,982,414",1029,G.I. Generation
25739,Turkmenistan,1988,female,35-54 years,18,255500,7.05,Turkmenistan1988,,"3,010,982,414",1029,Silent
25740,Turkmenistan,1988,female,15-24 years,21,342600,6.13,Turkmenistan1988,,"3,010,982,414",1029,Generation X
25741,Turkmenistan,1988,female,25-34 years,14,286600,4.88,Turkmenistan1988,,"3,010,982,414",1029,Boomers
25742,Turkmenistan,1988,female,5-14 years,4,425700,0.94,Turkmenistan1988,,"3,010,982,414",1029,Generation X
25743,Turkmenistan,1988,male,5-14 years,4,432700,0.92,Turkmenistan1988,,"3,010,982,414",1029,Generation X
25744,Turkmenistan,1989,male,35-54 years,64,258100,24.8,Turkmenistan1989,,"3,006,988,217",1003,Silent
25745,Turkmenistan,1989,male,75+ years,4,16800,23.81,Turkmenistan1989,,"3,006,988,217",1003,G.I. Generation
25746,Turkmenistan,1989,male,25-34 years,52,285700,18.2,Turkmenistan1989,,"3,006,988,217",1003,Boomers
25747,Turkmenistan,1989,male,55-74 years,19,113400,16.75,Turkmenistan1989,,"3,006,988,217",1003,G.I. Generation
25748,Turkmenistan,1989,female,75+ years,4,32900,12.16,Turkmenistan1989,,"3,006,988,217",1003,G.I. Generation
25749,Turkmenistan,1989,female,55-74 years,16,151500,10.56,Turkmenistan1989,,"3,006,988,217",1003,G.I. Generation
25750,Turkmenistan,1989,male,15-24 years,29,352500,8.23,Turkmenistan1989,,"3,006,988,217",1003,Generation X
25751,Turkmenistan,1989,female,15-24 years,25,346000,7.23,Turkmenistan1989,,"3,006,988,217",1003,Generation X
25752,Turkmenistan,1989,female,35-54 years,17,265600,6.4,Turkmenistan1989,,"3,006,988,217",1003,Silent
