,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
26068,Ukraine,1987,male,75+ years,506,654800,77.28,Ukraine1987,,"64,087,694,038",1353,G.I. Generation
26069,Ukraine,1987,male,55-74 years,1934,3652600,52.95,Ukraine1987,,"64,087,694,038",1353,G.I. Generation
26070,Ukraine,1987,male,35-54 years,3093,6206800,49.83,Ukraine1987,,"64,087,694,038",1353,Silent
26071,Ukraine,1987,male,25-34 years,1383,3890300,35.55,Ukraine1987,,"64,087,694,038",1353,Boomers
26072,Ukraine,1987,female,75+ years,486,1816100,26.76,Ukraine1987,,"64,087,694,038",1353,G.I. Generation
26073,Ukraine,1987,female,55-74 years,1024,6070300,16.87,Ukraine1987,,"64,087,694,038",1353,G.I. Generation
26074,Ukraine,1987,male,15-24 years,488,3543900,13.77,Ukraine1987,,"64,087,694,038",1353,Generation X
26075,Ukraine,1987,female,35-54 years,770,6881800,11.19,Ukraine1987,,"64,087,694,038",1353,Silent
26076,Ukraine,1987,female,25-34 years,176,3953000,4.45,Ukraine1987,,"64,087,694,038",1353,Boomers
26077,Ukraine,1987,female,15-24 years,128,3459900,3.7,Ukraine1987,,"64,087,694,038",1353,Generation X
26078,Ukraine,1987,male,5-14 years,53,3683900,1.44,Ukraine1987,,"64,087,694,038",1353,Generation X
26079,Ukraine,1987,female,5-14 years,9,3560800,0.25,Ukraine1987,,"64,087,694,038",1353,Generation X
26080,Ukraine,1988,male,75+ years,522,672400,77.63,Ukraine1988,,"74,703,517,903",1571,G.I. Generation
26081,Ukraine,1988,male,55-74 years,1773,3672700,48.28,Ukraine1988,,"74,703,517,903",1571,G.I. Generation
26082,Ukraine,1988,male,35-54 years,3002,6294000,47.7,Ukraine1988,,"74,703,517,903",1571,Silent
26083,Ukraine,1988,male,25-34 years,1383,3895600,35.5,Ukraine1988,,"74,703,517,903",1571,Boomers
26084,Ukraine,1988,female,75+ years,476,1881000,25.31,Ukraine1988,,"74,703,517,903",1571,G.I. Generation
26085,Ukraine,1988,female,55-74 years,1000,5995800,16.68,Ukraine1988,,"74,703,517,903",1571,G.I. Generation
26086,Ukraine,1988,male,15-24 years,494,3509600,14.08,Ukraine1988,,"74,703,517,903",1571,Generation X
26087,Ukraine,1988,female,35-54 years,656,6963500,9.42,Ukraine1988,,"74,703,517,903",1571,Silent
26088,Ukraine,1988,female,15-24 years,182,3427500,5.31,Ukraine1988,,"74,703,517,903",1571,Generation X
26089,Ukraine,1988,female,25-34 years,179,3961000,4.52,Ukraine1988,,"74,703,517,903",1571,Boomers
26090,Ukraine,1988,male,5-14 years,69,3698600,1.87,Ukraine1988,,"74,703,517,903",1571,Generation X
26091,Ukraine,1988,female,5-14 years,15,3578200,0.42,Ukraine1988,,"74,703,517,903",1571,Generation X
26092,Ukraine,1989,male,75+ years,589,685800,85.89,Ukraine1989,,"82,709,161,099",1732,G.I. Generation
26093,Ukraine,1989,male,35-54 years,3547,6392000,55.49,Ukraine1989,,"82,709,161,099",1732,Silent
26094,Ukraine,1989,male,55-74 years,1948,3678800,52.95,Ukraine1989,,"82,709,161,099",1732,G.I. Generation
26095,Ukraine,1989,male,25-34 years,1578,3878600,40.68,Ukraine1989,,"82,709,161,099",1732,Boomers
26096,Ukraine,1989,female,75+ years,500,1931900,25.88,Ukraine1989,,"82,709,161,099",1732,G.I. Generation
26097,Ukraine,1989,male,15-24 years,573,3509000,16.33,Ukraine1989,,"82,709,161,099",1732,Generation X
26098,Ukraine,1989,female,55-74 years,923,5897500,15.65,Ukraine1989,,"82,709,161,099",1732,G.I. Generation
26099,Ukraine,1989,female,35-54 years,759,7074400,10.73,Ukraine1989,,"82,709,161,099",1732,Silent
26100,Ukraine,1989,female,25-34 years,216,3945800,5.47,Ukraine1989,,"82,709,161,099",1732,Boomers
26101,Ukraine,1989,female,15-24 years,180,3422300,5.26,Ukraine1989,,"82,709,161,099",1732,Generation X
26102,Ukraine,1989,male,5-14 years,61,3733100,1.63,Ukraine1989,,"82,709,161,099",1732,Generation X
26103,Ukraine,1989,female,5-14 years,13,3612500,0.36,Ukraine1989,,"82,709,161,099",1732,Generation X
26104,Ukraine,1990,male,75+ years,494,688400,71.76,Ukraine1990,0.705,"81,456,918,679",1698,G.I. Generation
26105,Ukraine,1990,male,35-54 years,3570,6444100,55.4,Ukraine1990,0.705,"81,456,918,679",1698,Silent
26106,Ukraine,1990,male,55-74 years,2003,3733600,53.65,Ukraine1990,0.705,"81,456,918,679",1698,G.I. Generation
26107,Ukraine,1990,male,25-34 years,1490,3837800,38.82,Ukraine1990,0.705,"81,456,918,679",1698,Boomers
26108,Ukraine,1990,female,75+ years,452,1956100,23.11,Ukraine1990,0.705,"81,456,918,679",1698,G.I. Generation
26109,Ukraine,1990,male,15-24 years,613,3544600,17.29,Ukraine1990,0.705,"81,456,918,679",1698,Generation X
26110,Ukraine,1990,female,55-74 years,886,5866100,15.1,Ukraine1990,0.705,"81,456,918,679",1698,G.I. Generation
26111,Ukraine,1990,female,35-54 years,704,7140700,9.86,Ukraine1990,0.705,"81,456,918,679",1698,Silent
26112,Ukraine,1990,female,25-34 years,203,3904100,5.2,Ukraine1990,0.705,"81,456,918,679",1698,Boomers
26113,Ukraine,1990,female,15-24 years,165,3454600,4.78,Ukraine1990,0.705,"81,456,918,679",1698,Generation X
26114,Ukraine,1990,male,5-14 years,59,3763100,1.57,Ukraine1990,0.705,"81,456,918,679",1698,Generation X
26115,Ukraine,1990,female,5-14 years,6,3638400,0.16,Ukraine1990,0.705,"81,456,918,679",1698,Generation X
26116,Ukraine,1991,male,75+ years,482,667000,72.26,Ukraine1991,,"77,464,561,150",1607,G.I. Generation
26117,Ukraine,1991,male,35-54 years,3634,6449100,56.35,Ukraine1991,,"77,464,561,150",1607,Boomers
26118,Ukraine,1991,male,55-74 years,2075,3852600,53.86,Ukraine1991,,"77,464,561,150",1607,Silent
26119,Ukraine,1991,male,25-34 years,1465,3801300,38.54,Ukraine1991,,"77,464,561,150",1607,Boomers
26120,Ukraine,1991,female,75+ years,473,1920400,24.63,Ukraine1991,,"77,464,561,150",1607,G.I. Generation
26121,Ukraine,1991,male,15-24 years,618,3586700,17.23,Ukraine1991,,"77,464,561,150",1607,Generation X
26122,Ukraine,1991,female,55-74 years,867,5958600,14.55,Ukraine1991,,"77,464,561,150",1607,Silent
26123,Ukraine,1991,female,35-54 years,677,7148300,9.47,Ukraine1991,,"77,464,561,150",1607,Boomers
26124,Ukraine,1991,female,25-34 years,189,3862900,4.89,Ukraine1991,,"77,464,561,150",1607,Boomers
26125,Ukraine,1991,female,15-24 years,137,3495000,3.92,Ukraine1991,,"77,464,561,150",1607,Generation X
26126,Ukraine,1991,male,5-14 years,64,3793000,1.69,Ukraine1991,,"77,464,561,150",1607,Millenials
26127,Ukraine,1991,female,5-14 years,19,3665700,0.52,Ukraine1991,,"77,464,561,150",1607,Millenials
26128,Ukraine,1992,male,75+ years,530,635600,83.39,Ukraine1992,,"73,942,235,330",1525,G.I. Generation
26129,Ukraine,1992,male,35-54 years,3995,6422200,62.21,Ukraine1992,,"73,942,235,330",1525,Boomers
