,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
26404,United Arab Emirates,2005,male,35-54 years,42,1083147,3.88,United Arab Emirates2005,0.8220000000000001,"180,617,018,380",42196,Boomers
26405,United Arab Emirates,2005,male,55-74 years,3,104270,2.88,United Arab Emirates2005,0.8220000000000001,"180,617,018,380",42196,Silent
26406,United Arab Emirates,2005,female,15-24 years,7,281194,2.49,United Arab Emirates2005,0.8220000000000001,"180,617,018,380",42196,Millenials
26407,United Arab Emirates,2005,male,25-34 years,28,1132761,2.47,United Arab Emirates2005,0.8220000000000001,"180,617,018,380",42196,Generation X
26408,United Arab Emirates,2005,female,25-34 years,6,343997,1.74,United Arab Emirates2005,0.8220000000000001,"180,617,018,380",42196,Generation X
26409,United Arab Emirates,2005,male,15-24 years,7,454397,1.54,United Arab Emirates2005,0.8220000000000001,"180,617,018,380",42196,Millenials
26410,United Arab Emirates,2005,female,35-54 years,3,286724,1.05,United Arab Emirates2005,0.8220000000000001,"180,617,018,380",42196,Boomers
26411,United Arab Emirates,2005,female,5-14 years,0,261386,0.0,United Arab Emirates2005,0.8220000000000001,"180,617,018,380",42196,Millenials
26412,United Arab Emirates,2005,female,55-74 years,0,37641,0.0,United Arab Emirates2005,0.8220000000000001,"180,617,018,380",42196,Silent
26413,United Arab Emirates,2005,female,75+ years,0,5259,0.0,United Arab Emirates2005,0.8220000000000001,"180,617,018,380",42196,Silent
26414,United Arab Emirates,2005,male,5-14 years,0,282770,0.0,United Arab Emirates2005,0.8220000000000001,"180,617,018,380",42196,Millenials
26415,United Arab Emirates,2005,male,75+ years,0,6887,0.0,United Arab Emirates2005,0.8220000000000001,"180,617,018,380",42196,Silent
26416,United Arab Emirates,2006,female,55-74 years,2,40353,4.96,United Arab Emirates2006,,"222,116,541,865",45110,Silent
26417,United Arab Emirates,2006,male,25-34 years,37,1335454,2.77,United Arab Emirates2006,,"222,116,541,865",45110,Generation X
26418,United Arab Emirates,2006,male,35-54 years,30,1244561,2.41,United Arab Emirates2006,,"222,116,541,865",45110,Boomers
26419,United Arab Emirates,2006,female,35-54 years,6,320618,1.87,United Arab Emirates2006,,"222,116,541,865",45110,Boomers
26420,United Arab Emirates,2006,male,55-74 years,2,114304,1.75,United Arab Emirates2006,,"222,116,541,865",45110,Silent
26421,United Arab Emirates,2006,female,25-34 years,5,383191,1.3,United Arab Emirates2006,,"222,116,541,865",45110,Generation X
26422,United Arab Emirates,2006,male,15-24 years,7,595516,1.18,United Arab Emirates2006,,"222,116,541,865",45110,Millenials
26423,United Arab Emirates,2006,female,15-24 years,1,317537,0.31,United Arab Emirates2006,,"222,116,541,865",45110,Millenials
26424,United Arab Emirates,2006,female,5-14 years,0,271444,0.0,United Arab Emirates2006,,"222,116,541,865",45110,Millenials
26425,United Arab Emirates,2006,female,75+ years,0,5553,0.0,United Arab Emirates2006,,"222,116,541,865",45110,Silent
26426,United Arab Emirates,2006,male,5-14 years,0,287845,0.0,United Arab Emirates2006,,"222,116,541,865",45110,Millenials
26427,United Arab Emirates,2006,male,75+ years,0,7503,0.0,United Arab Emirates2006,,"222,116,541,865",45110,Silent
26428,United Arab Emirates,2007,female,55-74 years,2,43719,4.57,United Arab Emirates2007,,"257,916,133,424",45285,Silent
26429,United Arab Emirates,2007,male,15-24 years,18,710296,2.53,United Arab Emirates2007,,"257,916,133,424",45285,Millenials
26430,United Arab Emirates,2007,male,35-54 years,35,1481890,2.36,United Arab Emirates2007,,"257,916,133,424",45285,Boomers
26431,United Arab Emirates,2007,male,25-34 years,33,1586738,2.08,United Arab Emirates2007,,"257,916,133,424",45285,Generation X
26432,United Arab Emirates,2007,male,55-74 years,2,128386,1.56,United Arab Emirates2007,,"257,916,133,424",45285,Silent
26433,United Arab Emirates,2007,female,15-24 years,4,350408,1.14,United Arab Emirates2007,,"257,916,133,424",45285,Millenials
26434,United Arab Emirates,2007,female,25-34 years,4,431502,0.93,United Arab Emirates2007,,"257,916,133,424",45285,Generation X
26435,United Arab Emirates,2007,female,35-54 years,3,365164,0.82,United Arab Emirates2007,,"257,916,133,424",45285,Boomers
26436,United Arab Emirates,2007,female,5-14 years,0,284824,0.0,United Arab Emirates2007,,"257,916,133,424",45285,Generation Z
26437,United Arab Emirates,2007,female,75+ years,0,5982,0.0,United Arab Emirates2007,,"257,916,133,424",45285,Silent
26438,United Arab Emirates,2007,male,5-14 years,0,297991,0.0,United Arab Emirates2007,,"257,916,133,424",45285,Generation Z
26439,United Arab Emirates,2007,male,75+ years,0,8489,0.0,United Arab Emirates2007,,"257,916,133,424",45285,Silent
26440,United Arab Emirates,2008,male,15-24 years,18,776831,2.32,United Arab Emirates2008,,"315,474,615,739",48457,Millenials
26441,United Arab Emirates,2008,male,55-74 years,3,144591,2.07,United Arab Emirates2008,,"315,474,615,739",48457,Silent
26442,United Arab Emirates,2008,female,25-34 years,10,485856,2.06,United Arab Emirates2008,,"315,474,615,739",48457,Generation X
26443,United Arab Emirates,2008,male,35-54 years,36,1776139,2.03,United Arab Emirates2008,,"315,474,615,739",48457,Boomers
26444,United Arab Emirates,2008,male,25-34 years,25,1856262,1.35,United Arab Emirates2008,,"315,474,615,739",48457,Generation X
26445,United Arab Emirates,2008,female,15-24 years,4,374233,1.07,United Arab Emirates2008,,"315,474,615,739",48457,Millenials
26446,United Arab Emirates,2008,female,35-54 years,4,417902,0.96,United Arab Emirates2008,,"315,474,615,739",48457,Boomers
26447,United Arab Emirates,2008,female,5-14 years,0,300552,0.0,United Arab Emirates2008,,"315,474,615,739",48457,Generation Z
26448,United Arab Emirates,2008,female,55-74 years,0,47552,0.0,United Arab Emirates2008,,"315,474,615,739",48457,Silent
26449,United Arab Emirates,2008,female,75+ years,0,6441,0.0,United Arab Emirates2008,,"315,474,615,739",48457,Silent
26450,United Arab Emirates,2008,male,5-14 years,0,314457,0.0,United Arab Emirates2008,,"315,474,615,739",48457,Generation Z
26451,United Arab Emirates,2008,male,75+ years,0,9542,0.0,United Arab Emirates2008,,"315,474,615,739",48457,Silent
26452,United Arab Emirates,2009,male,25-34 years,52,2097782,2.48,United Arab Emirates2009,,"253,547,358,747",34960,Generation X
26453,United Arab Emirates,2009,male,15-24 years,15,780955,1.92,United Arab Emirates2009,,"253,547,358,747",34960,Millenials
26454,United Arab Emirates,2009,male,35-54 years,39,2094463,1.86,United Arab Emirates2009,,"253,547,358,747",34960,Boomers
26455,United Arab Emirates,2009,male,55-74 years,3,161132,1.86,United Arab Emirates2009,,"253,547,358,747",34960,Silent
26456,United Arab Emirates,2009,female,15-24 years,7,385569,1.82,United Arab Emirates2009,,"253,547,358,747",34960,Millenials
26457,United Arab Emirates,2009,female,25-34 years,4,539991,0.74,United Arab Emirates2009,,"253,547,358,747",34960,Generation X
26458,United Arab Emirates,2009,female,5-14 years,2,316123,0.63,United Arab Emirates2009,,"253,547,358,747",34960,Generation Z
26459,United Arab Emirates,2009,female,35-54 years,2,475003,0.42,United Arab Emirates2009,,"253,547,358,747",34960,Boomers
26460,United Arab Emirates,2009,female,55-74 years,0,51590,0.0,United Arab Emirates2009,,"253,547,358,747",34960,Silent
26461,United Arab Emirates,2009,female,75+ years,0,6796,0.0,United Arab Emirates2009,,"253,547,358,747",34960,Silent
26462,United Arab Emirates,2009,male,5-14 years,0,332784,0.0,United Arab Emirates2009,,"253,547,358,747",34960,Generation Z
26463,United Arab Emirates,2009,male,75+ years,0,10292,0.0,United Arab Emirates2009,,"253,547,358,747",34960,Silent
26464,United Arab Emirates,2010,male,75+ years,1,10567,9.46,United Arab Emirates2010,0.828,"289,787,338,325",36964,Silent
26465,United Arab Emirates,2010,male,55-74 years,5,177232,2.82,United Arab Emirates2010,0.828,"289,787,338,325",36964,Silent
26466,United Arab Emirates,2010,female,25-34 years,14,587552,2.38,United Arab Emirates2010,0.828,"289,787,338,325",36964,Generation X
26467,United Arab Emirates,2010,female,55-74 years,1,55621,1.8,United Arab Emirates2010,0.828,"289,787,338,325",36964,Silent
26468,United Arab Emirates,2010,male,25-34 years,39,2271630,1.72,United Arab Emirates2010,0.828,"289,787,338,325",36964,Generation X
26469,United Arab Emirates,2010,female,15-24 years,6,385198,1.56,United Arab Emirates2010,0.828,"289,787,338,325",36964,Millenials
26470,United Arab Emirates,2010,male,35-54 years,34,2405804,1.41,United Arab Emirates2010,0.828,"289,787,338,325",36964,Generation X
26471,United Arab Emirates,2010,male,15-24 years,10,730245,1.37,United Arab Emirates2010,0.828,"289,787,338,325",36964,Millenials
26472,United Arab Emirates,2010,female,35-54 years,1,533458,0.19,United Arab Emirates2010,0.828,"289,787,338,325",36964,Generation X
26473,United Arab Emirates,2010,female,5-14 years,0,329210,0.0,United Arab Emirates2010,0.828,"289,787,338,325",36964,Generation Z
26474,United Arab Emirates,2010,female,75+ years,0,6996,0.0,United Arab Emirates2010,0.828,"289,787,338,325",36964,Silent
26475,United Arab Emirates,2010,male,5-14 years,0,346223,0.0,United Arab Emirates2010,0.828,"289,787,338,325",36964,Generation Z
