,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
26476,United Kingdom,1985,male,75+ years,264,1202838,21.95,United Kingdom1985,0.753,"489,285,164,271",9231,G.I. Generation
26477,United Kingdom,1985,male,55-74 years,915,5170113,17.7,United Kingdom1985,0.753,"489,285,164,271",9231,G.I. Generation
26478,United Kingdom,1985,male,35-54 years,1208,6899879,17.51,United Kingdom1985,0.753,"489,285,164,271",9231,Silent
26479,United Kingdom,1985,male,25-34 years,620,3969689,15.62,United Kingdom1985,0.753,"489,285,164,271",9231,Boomers
26480,United Kingdom,1985,female,55-74 years,678,6002096,11.3,United Kingdom1985,0.753,"489,285,164,271",9231,G.I. Generation
26481,United Kingdom,1985,female,75+ years,237,2418692,9.8,United Kingdom1985,0.753,"489,285,164,271",9231,G.I. Generation
26482,United Kingdom,1985,male,15-24 years,411,4731293,8.69,United Kingdom1985,0.753,"489,285,164,271",9231,Generation X
26483,United Kingdom,1985,female,35-54 years,505,6879295,7.34,United Kingdom1985,0.753,"489,285,164,271",9231,Silent
26484,United Kingdom,1985,female,25-34 years,176,3899906,4.51,United Kingdom1985,0.753,"489,285,164,271",9231,Boomers
26485,United Kingdom,1985,female,15-24 years,86,4549121,1.89,United Kingdom1985,0.753,"489,285,164,271",9231,Generation X
26486,United Kingdom,1985,male,5-14 years,3,3740694,0.08,United Kingdom1985,0.753,"489,285,164,271",9231,Generation X
26487,United Kingdom,1985,female,5-14 years,2,3542919,0.06,United Kingdom1985,0.753,"489,285,164,271",9231,Generation X
26488,United Kingdom,1986,male,75+ years,280,1227718,22.81,United Kingdom1986,,"601,452,653,181",11323,G.I. Generation
26489,United Kingdom,1986,male,55-74 years,892,5159651,17.29,United Kingdom1986,,"601,452,653,181",11323,G.I. Generation
26490,United Kingdom,1986,male,35-54 years,1152,6950315,16.57,United Kingdom1986,,"601,452,653,181",11323,Silent
26491,United Kingdom,1986,male,25-34 years,616,4039982,15.25,United Kingdom1986,,"601,452,653,181",11323,Boomers
26492,United Kingdom,1986,male,15-24 years,449,4715034,9.52,United Kingdom1986,,"601,452,653,181",11323,Generation X
26493,United Kingdom,1986,female,75+ years,223,2454593,9.09,United Kingdom1986,,"601,452,653,181",11323,G.I. Generation
26494,United Kingdom,1986,female,55-74 years,541,5964761,9.07,United Kingdom1986,,"601,452,653,181",11323,G.I. Generation
26495,United Kingdom,1986,female,35-54 years,424,6933075,6.12,United Kingdom1986,,"601,452,653,181",11323,Silent
26496,United Kingdom,1986,female,25-34 years,161,3980652,4.04,United Kingdom1986,,"601,452,653,181",11323,Boomers
26497,United Kingdom,1986,female,15-24 years,97,4538658,2.14,United Kingdom1986,,"601,452,653,181",11323,Generation X
26498,United Kingdom,1986,female,5-14 years,2,3480190,0.06,United Kingdom1986,,"601,452,653,181",11323,Generation X
26499,United Kingdom,1986,male,5-14 years,2,3674904,0.05,United Kingdom1986,,"601,452,653,181",11323,Generation X
26500,United Kingdom,1987,male,75+ years,248,1272201,19.49,United Kingdom1987,,"745,162,608,269",13996,G.I. Generation
26501,United Kingdom,1987,male,55-74 years,857,5141737,16.67,United Kingdom1987,,"745,162,608,269",13996,G.I. Generation
26502,United Kingdom,1987,male,35-54 years,1072,6997144,15.32,United Kingdom1987,,"745,162,608,269",13996,Silent
26503,United Kingdom,1987,male,25-34 years,618,4130709,14.96,United Kingdom1987,,"745,162,608,269",13996,Boomers
26504,United Kingdom,1987,male,15-24 years,461,4665275,9.88,United Kingdom1987,,"745,162,608,269",13996,Generation X
26505,United Kingdom,1987,female,55-74 years,464,5919684,7.84,United Kingdom1987,,"745,162,608,269",13996,G.I. Generation
26506,United Kingdom,1987,female,75+ years,174,2508896,6.94,United Kingdom1987,,"745,162,608,269",13996,G.I. Generation
26507,United Kingdom,1987,female,35-54 years,417,6986157,5.97,United Kingdom1987,,"745,162,608,269",13996,Silent
26508,United Kingdom,1987,female,25-34 years,168,4073306,4.12,United Kingdom1987,,"745,162,608,269",13996,Boomers
26509,United Kingdom,1987,female,15-24 years,105,4483586,2.34,United Kingdom1987,,"745,162,608,269",13996,Generation X
26510,United Kingdom,1987,male,5-14 years,7,3625848,0.19,United Kingdom1987,,"745,162,608,269",13996,Generation X
26511,United Kingdom,1987,female,5-14 years,3,3435125,0.09,United Kingdom1987,,"745,162,608,269",13996,Generation X
26512,United Kingdom,1988,male,75+ years,313,1304946,23.99,United Kingdom1988,,"910,122,732,124",17072,G.I. Generation
26513,United Kingdom,1988,male,35-54 years,1218,7060763,17.25,United Kingdom1988,,"910,122,732,124",17072,Silent
26514,United Kingdom,1988,male,25-34 years,695,4217963,16.48,United Kingdom1988,,"910,122,732,124",17072,Boomers
26515,United Kingdom,1988,male,55-74 years,816,5119070,15.94,United Kingdom1988,,"910,122,732,124",17072,G.I. Generation
26516,United Kingdom,1988,male,15-24 years,565,4573487,12.35,United Kingdom1988,,"910,122,732,124",17072,Generation X
26517,United Kingdom,1988,female,75+ years,205,2551912,8.03,United Kingdom1988,,"910,122,732,124",17072,G.I. Generation
26518,United Kingdom,1988,female,55-74 years,445,5863850,7.59,United Kingdom1988,,"910,122,732,124",17072,G.I. Generation
26519,United Kingdom,1988,female,35-54 years,417,7055435,5.91,United Kingdom1988,,"910,122,732,124",17072,Silent
26520,United Kingdom,1988,female,25-34 years,171,4162366,4.11,United Kingdom1988,,"910,122,732,124",17072,Boomers
26521,United Kingdom,1988,female,15-24 years,120,4389539,2.73,United Kingdom1988,,"910,122,732,124",17072,Generation X
26522,United Kingdom,1988,male,5-14 years,4,3599080,0.11,United Kingdom1988,,"910,122,732,124",17072,Generation X
26523,United Kingdom,1988,female,5-14 years,2,3412369,0.06,United Kingdom1988,,"910,122,732,124",17072,Generation X
26524,United Kingdom,1989,male,75+ years,267,1338351,19.95,United Kingdom1989,,"926,884,816,754",17349,G.I. Generation
26525,United Kingdom,1989,male,35-54 years,1117,7132941,15.66,United Kingdom1989,,"926,884,816,754",17349,Silent
26526,United Kingdom,1989,male,25-34 years,664,4320494,15.37,United Kingdom1989,,"926,884,816,754",17349,Boomers
26527,United Kingdom,1989,male,55-74 years,703,5101514,13.78,United Kingdom1989,,"926,884,816,754",17349,G.I. Generation
26528,United Kingdom,1989,male,15-24 years,482,4444822,10.84,United Kingdom1989,,"926,884,816,754",17349,Generation X
26529,United Kingdom,1989,female,75+ years,176,2599321,6.77,United Kingdom1989,,"926,884,816,754",17349,G.I. Generation
26530,United Kingdom,1989,female,55-74 years,352,5807846,6.06,United Kingdom1989,,"926,884,816,754",17349,G.I. Generation
26531,United Kingdom,1989,female,35-54 years,353,7131057,4.95,United Kingdom1989,,"926,884,816,754",17349,Silent
26532,United Kingdom,1989,female,25-34 years,157,4262150,3.68,United Kingdom1989,,"926,884,816,754",17349,Boomers
26533,United Kingdom,1989,female,15-24 years,87,4270368,2.04,United Kingdom1989,,"926,884,816,754",17349,Generation X
26534,United Kingdom,1989,female,5-14 years,2,3415806,0.06,United Kingdom1989,,"926,884,816,754",17349,Generation X
26535,United Kingdom,1989,male,5-14 years,1,3600459,0.03,United Kingdom1989,,"926,884,816,754",17349,Generation X
26536,United Kingdom,1990,male,75+ years,264,1360178,19.41,United Kingdom1990,0.773,"1,093,169,389,205",20411,G.I. Generation
26537,United Kingdom,1990,male,35-54 years,1246,7192919,17.32,United Kingdom1990,0.773,"1,093,169,389,205",20411,Silent
26538,United Kingdom,1990,male,25-34 years,763,4427270,17.23,United Kingdom1990,0.773,"1,093,169,389,205",20411,Boomers
26539,United Kingdom,1990,male,55-74 years,721,5093581,14.16,United Kingdom1990,0.773,"1,093,169,389,205",20411,G.I. Generation
26540,United Kingdom,1990,male,15-24 years,528,4317816,12.23,United Kingdom1990,0.773,"1,093,169,389,205",20411,Generation X
26541,United Kingdom,1990,female,55-74 years,340,5762152,5.9,United Kingdom1990,0.773,"1,093,169,389,205",20411,G.I. Generation
26542,United Kingdom,1990,female,75+ years,154,2625749,5.86,United Kingdom1990,0.773,"1,093,169,389,205",20411,G.I. Generation
26543,United Kingdom,1990,female,35-54 years,360,7196514,5.0,United Kingdom1990,0.773,"1,093,169,389,205",20411,Silent
26544,United Kingdom,1990,female,25-34 years,180,4366845,4.12,United Kingdom1990,0.773,"1,093,169,389,205",20411,Boomers
26545,United Kingdom,1990,female,15-24 years,85,4138638,2.05,United Kingdom1990,0.773,"1,093,169,389,205",20411,Generation X
26546,United Kingdom,1990,male,5-14 years,2,3630327,0.06,United Kingdom1990,0.773,"1,093,169,389,205",20411,Generation X
26547,United Kingdom,1990,female,5-14 years,0,3445865,0.0,United Kingdom1990,0.773,"1,093,169,389,205",20411,Generation X
26548,United Kingdom,1991,male,35-54 years,1342,7271111,18.46,United Kingdom1991,,"1,142,797,178,131",21201,Boomers
26549,United Kingdom,1991,male,25-34 years,801,4577587,17.5,United Kingdom1991,,"1,142,797,178,131",21201,Boomers
26550,United Kingdom,1991,male,75+ years,238,1367055,17.41,United Kingdom1991,,"1,142,797,178,131",21201,G.I. Generation
26551,United Kingdom,1991,male,55-74 years,628,5106574,12.3,United Kingdom1991,,"1,142,797,178,131",21201,Silent
26552,United Kingdom,1991,male,15-24 years,481,4218626,11.4,United Kingdom1991,,"1,142,797,178,131",21201,Generation X
26553,United Kingdom,1991,female,75+ years,151,2671099,5.65,United Kingdom1991,,"1,142,797,178,131",21201,G.I. Generation
26554,United Kingdom,1991,female,55-74 years,311,5765907,5.39,United Kingdom1991,,"1,142,797,178,131",21201,Silent
26555,United Kingdom,1991,female,35-54 years,336,7264229,4.63,United Kingdom1991,,"1,142,797,178,131",21201,Boomers
26556,United Kingdom,1991,female,25-34 years,161,4465693,3.61,United Kingdom1991,,"1,142,797,178,131",21201,Boomers
26557,United Kingdom,1991,female,15-24 years,93,4021225,2.31,United Kingdom1991,,"1,142,797,178,131",21201,Generation X
26558,United Kingdom,1991,male,5-14 years,4,3687655,0.11,United Kingdom1991,,"1,142,797,178,131",21201,Millenials
26559,United Kingdom,1991,female,5-14 years,1,3486666,0.03,United Kingdom1991,,"1,142,797,178,131",21201,Millenials
26560,United Kingdom,1992,male,35-54 years,1361,7357267,18.5,United Kingdom1992,,"1,179,659,529,660",21815,Boomers
26561,United Kingdom,1992,male,25-34 years,785,4655305,16.86,United Kingdom1992,,"1,179,659,529,660",21815,Boomers
26562,United Kingdom,1992,male,75+ years,216,1371639,15.75,United Kingdom1992,,"1,179,659,529,660",21815,G.I. Generation
26563,United Kingdom,1992,male,55-74 years,693,5128063,13.51,United Kingdom1992,,"1,179,659,529,660",21815,Silent
26564,United Kingdom,1992,male,15-24 years,500,4077682,12.26,United Kingdom1992,,"1,179,659,529,660",21815,Generation X
26565,United Kingdom,1992,female,75+ years,143,2670510,5.35,United Kingdom1992,,"1,179,659,529,660",21815,G.I. Generation
26566,United Kingdom,1992,female,55-74 years,299,5765146,5.19,United Kingdom1992,,"1,179,659,529,660",21815,Silent
26567,United Kingdom,1992,female,35-54 years,347,7352110,4.72,United Kingdom1992,,"1,179,659,529,660",21815,Boomers
26568,United Kingdom,1992,female,25-34 years,191,4529424,4.22,United Kingdom1992,,"1,179,659,529,660",21815,Boomers
26569,United Kingdom,1992,female,15-24 years,91,3882211,2.34,United Kingdom1992,,"1,179,659,529,660",21815,Generation X
26570,United Kingdom,1992,male,5-14 years,2,3742157,0.05,United Kingdom1992,,"1,179,659,529,660",21815,Millenials
26571,United Kingdom,1992,female,5-14 years,0,3544844,0.0,United Kingdom1992,,"1,179,659,529,660",21815,Millenials
26572,United Kingdom,1993,male,35-54 years,1274,7453705,17.09,United Kingdom1993,,"1,061,388,722,256",19553,Boomers
26573,United Kingdom,1993,male,25-34 years,773,4707275,16.42,United Kingdom1993,,"1,061,388,722,256",19553,Boomers
26574,United Kingdom,1993,male,75+ years,221,1361095,16.24,United Kingdom1993,,"1,061,388,722,256",19553,G.I. Generation
26575,United Kingdom,1993,male,15-24 years,501,3957719,12.66,United Kingdom1993,,"1,061,388,722,256",19553,Generation X
26576,United Kingdom,1993,male,55-74 years,652,5170730,12.61,United Kingdom1993,,"1,061,388,722,256",19553,Silent
26577,United Kingdom,1993,female,75+ years,166,2647900,6.27,United Kingdom1993,,"1,061,388,722,256",19553,G.I. Generation
26578,United Kingdom,1993,female,55-74 years,263,5792600,4.54,United Kingdom1993,,"1,061,388,722,256",19553,Silent
26579,United Kingdom,1993,female,35-54 years,335,7448149,4.5,United Kingdom1993,,"1,061,388,722,256",19553,Boomers
26580,United Kingdom,1993,female,25-34 years,181,4569482,3.96,United Kingdom1993,,"1,061,388,722,256",19553,Boomers
26581,United Kingdom,1993,female,15-24 years,82,3760574,2.18,United Kingdom1993,,"1,061,388,722,256",19553,Generation X
26582,United Kingdom,1993,male,5-14 years,12,3806053,0.32,United Kingdom1993,,"1,061,388,722,256",19553,Millenials
26583,United Kingdom,1993,female,5-14 years,2,3608700,0.06,United Kingdom1993,,"1,061,388,722,256",19553,Millenials
26584,United Kingdom,1994,male,25-34 years,881,4751200,18.54,United Kingdom1994,,"1,140,489,745,944",20927,Boomers
26585,United Kingdom,1994,male,35-54 years,1242,7561779,16.42,United Kingdom1994,,"1,140,489,745,944",20927,Boomers
26586,United Kingdom,1994,male,75+ years,218,1349491,16.15,United Kingdom1994,,"1,140,489,745,944",20927,G.I. Generation
26587,United Kingdom,1994,male,15-24 years,445,3868779,11.5,United Kingdom1994,,"1,140,489,745,944",20927,Generation X
26588,United Kingdom,1994,male,55-74 years,595,5209306,11.42,United Kingdom1994,,"1,140,489,745,944",20927,Silent
26589,United Kingdom,1994,female,75+ years,148,2619957,5.65,United Kingdom1994,,"1,140,489,745,944",20927,G.I. Generation
26590,United Kingdom,1994,female,55-74 years,256,5816530,4.4,United Kingdom1994,,"1,140,489,745,944",20927,Silent
26591,United Kingdom,1994,female,35-54 years,324,7557704,4.29,United Kingdom1994,,"1,140,489,745,944",20927,Boomers
26592,United Kingdom,1994,female,25-34 years,176,4606941,3.82,United Kingdom1994,,"1,140,489,745,944",20927,Boomers
26593,United Kingdom,1994,female,15-24 years,82,3674808,2.23,United Kingdom1994,,"1,140,489,745,944",20927,Generation X
26594,United Kingdom,1994,male,5-14 years,9,3837961,0.23,United Kingdom1994,,"1,140,489,745,944",20927,Millenials
26595,United Kingdom,1994,female,5-14 years,4,3642837,0.11,United Kingdom1994,,"1,140,489,745,944",20927,Millenials
26596,United Kingdom,1995,male,25-34 years,858,4776564,17.96,United Kingdom1995,0.8370000000000001,"1,335,218,557,677",24389,Generation X
26597,United Kingdom,1995,male,35-54 years,1247,7691950,16.21,United Kingdom1995,0.8370000000000001,"1,335,218,557,677",24389,Boomers
26598,United Kingdom,1995,male,75+ years,222,1412937,15.71,United Kingdom1995,0.8370000000000001,"1,335,218,557,677",24389,G.I. Generation
26599,United Kingdom,1995,male,55-74 years,602,5179979,11.62,United Kingdom1995,0.8370000000000001,"1,335,218,557,677",24389,Silent
26600,United Kingdom,1995,male,15-24 years,419,3811646,10.99,United Kingdom1995,0.8370000000000001,"1,335,218,557,677",24389,Generation X
26601,United Kingdom,1995,female,75+ years,152,2692330,5.65,United Kingdom1995,0.8370000000000001,"1,335,218,557,677",24389,G.I. Generation
26602,United Kingdom,1995,female,35-54 years,344,7672199,4.48,United Kingdom1995,0.8370000000000001,"1,335,218,557,677",24389,Boomers
26603,United Kingdom,1995,female,55-74 years,237,5746814,4.12,United Kingdom1995,0.8370000000000001,"1,335,218,557,677",24389,Silent
26604,United Kingdom,1995,female,25-34 years,143,4614434,3.1,United Kingdom1995,0.8370000000000001,"1,335,218,557,677",24389,Generation X
26605,United Kingdom,1995,female,15-24 years,81,3624373,2.23,United Kingdom1995,0.8370000000000001,"1,335,218,557,677",24389,Generation X
26606,United Kingdom,1995,male,5-14 years,6,3859464,0.16,United Kingdom1995,0.8370000000000001,"1,335,218,557,677",24389,Millenials
26607,United Kingdom,1995,female,5-14 years,4,3664274,0.11,United Kingdom1995,0.8370000000000001,"1,335,218,557,677",24389,Millenials
26608,United Kingdom,1996,male,25-34 years,858,4786490,17.93,United Kingdom1996,,"1,408,781,591,264",25609,Generation X
26609,United Kingdom,1996,male,35-54 years,1189,7859858,15.13,United Kingdom1996,,"1,408,781,591,264",25609,Boomers
26610,United Kingdom,1996,male,75+ years,218,1460275,14.93,United Kingdom1996,,"1,408,781,591,264",25609,G.I. Generation
26611,United Kingdom,1996,male,55-74 years,552,5146338,10.73,United Kingdom1996,,"1,408,781,591,264",25609,Silent
26612,United Kingdom,1996,male,15-24 years,362,3746067,9.66,United Kingdom1996,,"1,408,781,591,264",25609,Generation X
26613,United Kingdom,1996,female,75+ years,134,2740309,4.89,United Kingdom1996,,"1,408,781,591,264",25609,G.I. Generation
26614,United Kingdom,1996,female,35-54 years,350,7826169,4.47,United Kingdom1996,,"1,408,781,591,264",25609,Boomers
26615,United Kingdom,1996,female,25-34 years,190,4613261,4.12,United Kingdom1996,,"1,408,781,591,264",25609,Generation X
26616,United Kingdom,1996,female,55-74 years,218,5677006,3.84,United Kingdom1996,,"1,408,781,591,264",25609,Silent
26617,United Kingdom,1996,female,15-24 years,88,3564927,2.47,United Kingdom1996,,"1,408,781,591,264",25609,Generation X
26618,United Kingdom,1996,male,5-14 years,6,3894281,0.15,United Kingdom1996,,"1,408,781,591,264",25609,Millenials
26619,United Kingdom,1996,female,5-14 years,0,3697226,0.0,United Kingdom1996,,"1,408,781,591,264",25609,Millenials
26620,United Kingdom,1997,male,25-34 years,832,4758740,17.48,United Kingdom1997,,"1,552,483,628,029",28091,Generation X
26621,United Kingdom,1997,male,75+ years,252,1500323,16.8,United Kingdom1997,,"1,552,483,628,029",28091,G.I. Generation
26622,United Kingdom,1997,male,35-54 years,1180,8015651,14.72,United Kingdom1997,,"1,552,483,628,029",28091,Boomers
26623,United Kingdom,1997,male,15-24 years,411,3696059,11.12,United Kingdom1997,,"1,552,483,628,029",28091,Generation X
26624,United Kingdom,1997,male,55-74 years,519,5148166,10.08,United Kingdom1997,,"1,552,483,628,029",28091,Silent
26625,United Kingdom,1997,female,35-54 years,358,7970382,4.49,United Kingdom1997,,"1,552,483,628,029",28091,Boomers
26626,United Kingdom,1997,female,55-74 years,224,5648065,3.97,United Kingdom1997,,"1,552,483,628,029",28091,Silent
26627,United Kingdom,1997,female,75+ years,107,2771148,3.86,United Kingdom1997,,"1,552,483,628,029",28091,G.I. Generation
