,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
27220,Uruguay,1985,male,75+ years,37,46900,78.89,Uruguay1985,0.667,"4,732,017,873",1729,G.I. Generation
27221,Uruguay,1985,male,55-74 years,85,235800,36.05,Uruguay1985,0.667,"4,732,017,873",1729,G.I. Generation
27222,Uruguay,1985,male,35-54 years,67,336400,19.92,Uruguay1985,0.667,"4,732,017,873",1729,Silent
27223,Uruguay,1985,male,25-34 years,30,204000,14.71,Uruguay1985,0.667,"4,732,017,873",1729,Boomers
27224,Uruguay,1985,female,55-74 years,21,270100,7.77,Uruguay1985,0.667,"4,732,017,873",1729,G.I. Generation
27225,Uruguay,1985,male,15-24 years,16,247000,6.48,Uruguay1985,0.667,"4,732,017,873",1729,Generation X
27226,Uruguay,1985,female,75+ years,4,72800,5.49,Uruguay1985,0.667,"4,732,017,873",1729,G.I. Generation
27227,Uruguay,1985,female,35-54 years,16,347300,4.61,Uruguay1985,0.667,"4,732,017,873",1729,Silent
27228,Uruguay,1985,female,15-24 years,5,240000,2.08,Uruguay1985,0.667,"4,732,017,873",1729,Generation X
27229,Uruguay,1985,female,25-34 years,3,203000,1.48,Uruguay1985,0.667,"4,732,017,873",1729,Boomers
27230,Uruguay,1985,female,5-14 years,2,263100,0.76,Uruguay1985,0.667,"4,732,017,873",1729,Generation X
27231,Uruguay,1985,male,5-14 years,1,271000,0.37,Uruguay1985,0.667,"4,732,017,873",1729,Generation X
27232,Uruguay,1986,male,75+ years,38,47400,80.17,Uruguay1986,,"5,880,112,788",2132,G.I. Generation
27233,Uruguay,1986,male,55-74 years,81,237800,34.06,Uruguay1986,,"5,880,112,788",2132,G.I. Generation
27234,Uruguay,1986,male,35-54 years,45,338500,13.29,Uruguay1986,,"5,880,112,788",2132,Silent
27235,Uruguay,1986,male,25-34 years,21,205500,10.22,Uruguay1986,,"5,880,112,788",2132,Boomers
27236,Uruguay,1986,female,55-74 years,24,272100,8.82,Uruguay1986,,"5,880,112,788",2132,G.I. Generation
27237,Uruguay,1986,male,15-24 years,18,248800,7.23,Uruguay1986,,"5,880,112,788",2132,Generation X
27238,Uruguay,1986,female,75+ years,5,73600,6.79,Uruguay1986,,"5,880,112,788",2132,G.I. Generation
27239,Uruguay,1986,female,15-24 years,12,241800,4.96,Uruguay1986,,"5,880,112,788",2132,Generation X
27240,Uruguay,1986,female,25-34 years,8,204500,3.91,Uruguay1986,,"5,880,112,788",2132,Boomers
27241,Uruguay,1986,female,35-54 years,8,349600,2.29,Uruguay1986,,"5,880,112,788",2132,Silent
27242,Uruguay,1986,male,5-14 years,2,273000,0.73,Uruguay1986,,"5,880,112,788",2132,Generation X
27243,Uruguay,1986,female,5-14 years,0,265000,0.0,Uruguay1986,,"5,880,112,788",2132,Generation X
27244,Uruguay,1987,male,75+ years,36,47700,75.47,Uruguay1987,,"7,367,494,080",2651,G.I. Generation
27245,Uruguay,1987,male,55-74 years,63,239600,26.29,Uruguay1987,,"7,367,494,080",2651,G.I. Generation
27246,Uruguay,1987,male,35-54 years,59,341200,17.29,Uruguay1987,,"7,367,494,080",2651,Silent
27247,Uruguay,1987,female,75+ years,7,74100,9.45,Uruguay1987,,"7,367,494,080",2651,G.I. Generation
27248,Uruguay,1987,female,55-74 years,25,274100,9.12,Uruguay1987,,"7,367,494,080",2651,G.I. Generation
27249,Uruguay,1987,male,25-34 years,15,207100,7.24,Uruguay1987,,"7,367,494,080",2651,Boomers
27250,Uruguay,1987,male,15-24 years,18,250800,7.18,Uruguay1987,,"7,367,494,080",2651,Generation X
27251,Uruguay,1987,female,35-54 years,19,352300,5.39,Uruguay1987,,"7,367,494,080",2651,Silent
27252,Uruguay,1987,female,25-34 years,7,206100,3.4,Uruguay1987,,"7,367,494,080",2651,Boomers
27253,Uruguay,1987,female,15-24 years,7,243700,2.87,Uruguay1987,,"7,367,494,080",2651,Generation X
