,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
27556,Uzbekistan,1990,male,35-54 years,343,1491700,22.99,Uzbekistan1990,,"13,360,607,918",778,Silent
27557,Uzbekistan,1990,male,55-74 years,129,660200,19.54,Uzbekistan1990,,"13,360,607,918",778,G.I. Generation
27558,Uzbekistan,1990,male,25-34 years,283,1638100,17.28,Uzbekistan1990,,"13,360,607,918",778,Boomers
27559,Uzbekistan,1990,male,75+ years,20,118300,16.91,Uzbekistan1990,,"13,360,607,918",778,G.I. Generation
27560,Uzbekistan,1990,female,75+ years,27,218400,12.36,Uzbekistan1990,,"13,360,607,918",778,G.I. Generation
27561,Uzbekistan,1990,male,15-24 years,191,1955700,9.77,Uzbekistan1990,,"13,360,607,918",778,Generation X
27562,Uzbekistan,1990,female,55-74 years,77,856800,8.99,Uzbekistan1990,,"13,360,607,918",778,G.I. Generation
27563,Uzbekistan,1990,female,35-54 years,105,1507400,6.97,Uzbekistan1990,,"13,360,607,918",778,Silent
27564,Uzbekistan,1990,female,15-24 years,135,1956300,6.9,Uzbekistan1990,,"13,360,607,918",778,Generation X
27565,Uzbekistan,1990,female,25-34 years,87,1664200,5.23,Uzbekistan1990,,"13,360,607,918",778,Boomers
27566,Uzbekistan,1990,male,5-14 years,42,2574400,1.63,Uzbekistan1990,,"13,360,607,918",778,Generation X
27567,Uzbekistan,1990,female,5-14 years,20,2524200,0.79,Uzbekistan1990,,"13,360,607,918",778,Generation X
27568,Uzbekistan,1991,male,35-54 years,353,1510300,23.37,Uzbekistan1991,,"13,677,622,222",788,Boomers
27569,Uzbekistan,1991,male,55-74 years,119,668000,17.81,Uzbekistan1991,,"13,677,622,222",788,Silent
27570,Uzbekistan,1991,male,25-34 years,289,1648400,17.53,Uzbekistan1991,,"13,677,622,222",788,Boomers
27571,Uzbekistan,1991,male,75+ years,20,115500,17.32,Uzbekistan1991,,"13,677,622,222",788,G.I. Generation
27572,Uzbekistan,1991,female,75+ years,30,216200,13.88,Uzbekistan1991,,"13,677,622,222",788,G.I. Generation
27573,Uzbekistan,1991,male,15-24 years,209,1970700,10.61,Uzbekistan1991,,"13,677,622,222",788,Generation X
27574,Uzbekistan,1991,female,55-74 years,57,856200,6.66,Uzbekistan1991,,"13,677,622,222",788,Silent
27575,Uzbekistan,1991,female,15-24 years,117,1965200,5.95,Uzbekistan1991,,"13,677,622,222",788,Generation X
27576,Uzbekistan,1991,female,35-54 years,71,1531100,4.64,Uzbekistan1991,,"13,677,622,222",788,Boomers
27577,Uzbekistan,1991,female,25-34 years,72,1684500,4.27,Uzbekistan1991,,"13,677,622,222",788,Boomers
27578,Uzbekistan,1991,male,5-14 years,49,2615200,1.87,Uzbekistan1991,,"13,677,622,222",788,Millenials
27579,Uzbekistan,1991,female,5-14 years,7,2566500,0.27,Uzbekistan1991,,"13,677,622,222",788,Millenials
27580,Uzbekistan,1992,male,35-54 years,308,1586100,19.42,Uzbekistan1992,,"12,941,297,376",709,Boomers
27581,Uzbekistan,1992,male,75+ years,19,125500,15.14,Uzbekistan1992,,"12,941,297,376",709,G.I. Generation
27582,Uzbekistan,1992,male,55-74 years,105,701800,14.96,Uzbekistan1992,,"12,941,297,376",709,Silent
27583,Uzbekistan,1992,male,25-34 years,258,1741600,14.81,Uzbekistan1992,,"12,941,297,376",709,Boomers
27584,Uzbekistan,1992,female,75+ years,29,232900,12.45,Uzbekistan1992,,"12,941,297,376",709,G.I. Generation
27585,Uzbekistan,1992,male,15-24 years,257,2079600,12.36,Uzbekistan1992,,"12,941,297,376",709,Generation X
27586,Uzbekistan,1992,female,55-74 years,57,912800,6.24,Uzbekistan1992,,"12,941,297,376",709,Silent
27587,Uzbekistan,1992,female,15-24 years,108,2081800,5.19,Uzbekistan1992,,"12,941,297,376",709,Generation X
27588,Uzbekistan,1992,female,25-34 years,81,1769700,4.58,Uzbekistan1992,,"12,941,297,376",709,Boomers
27589,Uzbekistan,1992,female,35-54 years,65,1603900,4.05,Uzbekistan1992,,"12,941,297,376",709,Boomers
27590,Uzbekistan,1992,male,5-14 years,49,2737500,1.79,Uzbekistan1992,,"12,941,297,376",709,Millenials
27591,Uzbekistan,1992,female,5-14 years,8,2683800,0.3,Uzbekistan1992,,"12,941,297,376",709,Millenials
27592,Uzbekistan,1993,male,35-54 years,332,1635000,20.31,Uzbekistan1993,,"13,099,013,836",708,Boomers
27593,Uzbekistan,1993,male,75+ years,19,113000,16.81,Uzbekistan1993,,"13,099,013,836",708,G.I. Generation
27594,Uzbekistan,1993,male,25-34 years,278,1714500,16.21,Uzbekistan1993,,"13,099,013,836",708,Boomers
27595,Uzbekistan,1993,male,55-74 years,111,730700,15.19,Uzbekistan1993,,"13,099,013,836",708,Silent
27596,Uzbekistan,1993,female,75+ years,23,220200,10.45,Uzbekistan1993,,"13,099,013,836",708,G.I. Generation
27597,Uzbekistan,1993,male,15-24 years,218,2098300,10.39,Uzbekistan1993,,"13,099,013,836",708,Generation X
27598,Uzbekistan,1993,female,55-74 years,60,917800,6.54,Uzbekistan1993,,"13,099,013,836",708,Silent
27599,Uzbekistan,1993,female,15-24 years,117,2084700,5.61,Uzbekistan1993,,"13,099,013,836",708,Generation X
27600,Uzbekistan,1993,female,25-34 years,83,1763900,4.71,Uzbekistan1993,,"13,099,013,836",708,Boomers
27601,Uzbekistan,1993,female,35-54 years,60,1656100,3.62,Uzbekistan1993,,"13,099,013,836",708,Boomers
27602,Uzbekistan,1993,male,5-14 years,47,2817200,1.67,Uzbekistan1993,,"13,099,013,836",708,Millenials
27603,Uzbekistan,1993,female,5-14 years,7,2757900,0.25,Uzbekistan1993,,"13,099,013,836",708,Millenials
